run_id,training_type,shapley_tactic,latent_dim,started_at,ended_at,duration_sec,epochs,final_loss,final_recon,final_recon_base,final_pix_recon,final_aux_recon_base,final_kl,final_val_loss,final_val_recon,final_val_recon_base,final_val_pix_recon,final_val_aux_recon_base,final_val_kl
baseline-20260606T031343Z-577ee83c,baseline,none,8,2026-06-06T03:13:30.506530+00:00,2026-06-06T03:13:43.363589+00:00,12.857486299999437,200,1.2552123069763184,0.7584919929504395,0.7584919844354902,0.41096074666295734,0.4344140418938228,5.302658012935093,1.0661736726760864,0.5970809757709503,0.5970809459686279,0.31509700417518616,0.3524799197912216,5.007724046707153
pix_only-20260606T031406Z-5c51bdec,pix_only,none,8,2026-06-06T03:13:53.977933+00:00,2026-06-06T03:14:06.658181+00:00,12.683694999999716,200,0.6769135594367981,0.3953960793358939,0.3953960793358939,0.3953960793358939,1.0680782794952393,5.28518145424979,0.5708098411560059,0.3037181496620178,0.3037181496620178,0.3037181496620178,1.0636571645736694,5.014353036880493
shapley-20260606T031431Z-665a6646,shapley,baseline,8,2026-06-06T03:14:17.311257+00:00,2026-06-06T03:14:31.068759+00:00,13.756907900002261,200,1.19020414352417,0.6858701024736676,0.745246912751879,0.3981684020587376,0.433848112821579,5.2948125430515836,1.078611969947815,0.5980810821056366,0.5980810821056366,0.3145560473203659,0.35440628230571747,5.044912338256836
shapley-20260606T031455Z-3053cd24,shapley,marginal,8,2026-06-06T03:14:41.581456+00:00,2026-06-06T03:14:55.291063+00:00,13.709793599999102,200,1.1932603972298759,0.7011611546788897,0.7551097529275077,0.4055254714829581,0.43698033690452576,5.285494259425572,1.0687264204025269,0.6049248576164246,0.6049248576164246,0.3191487640142441,0.3572201132774353,4.9815568923950195
shapley-20260606T031519Z-dad98d20,shapley,conditional,8,2026-06-06T03:15:05.803399+00:00,2026-06-06T03:15:19.721200+00:00,13.918006699997932,200,1.1690302235739571,0.6965249010494777,0.7580956305776324,0.4010809872831617,0.4462683030537197,5.2028767721993585,1.0579242706298828,0.6056990921497345,0.6056990921497345,0.3172253221273422,0.36059220135211945,4.979567527770996
