epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1266106999992189,,1024,32,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
69,69,B,1,0.0540886999988288,,1600,50,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
89,89,B,2,0.0446105999999417,,1600,50,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
109,109,B,3,0.0399152000009053,,1600,50,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
129,129,B,4,0.0529898000004323,,1600,50,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
169,169,B,5,0.0533537000010255,,1600,50,baseline,shapley-20260606T014643Z-fcc395e5,shapley,baseline
49,49,B,0,0.1335866000008536,,1024,32,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
69,69,B,1,0.0589423000001261,,1600,50,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
89,89,B,2,0.0487609000010706,,1600,50,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
109,109,B,3,0.050557900000058,,1600,50,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
129,129,B,4,0.0461802999998326,,1600,50,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
169,169,B,5,0.0462563000000955,,1600,50,marginal,shapley-20260606T014708Z-200e1006,shapley,marginal
49,49,B,0,0.1564042000009067,,1024,32,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
69,69,B,1,0.0804203999996389,,1600,50,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
89,89,B,2,0.0832574999985809,,1600,50,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
109,109,B,3,0.0741382999985944,,1600,50,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
129,129,B,4,0.0730561000000307,,1600,50,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
169,169,B,5,0.073800599999231,,1600,50,conditional,shapley-20260606T014732Z-994ebdac,shapley,conditional
