epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1397321999975247,,1024,32,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
69,69,B,1,0.0522849000008136,,1600,50,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
89,89,B,2,0.0415702999998757,,1600,50,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
109,109,B,3,0.0425739000020257,,1600,50,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
129,129,B,4,0.0446152000004076,,1600,50,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
169,169,B,5,0.044799299997976,,1600,50,baseline,shapley-20260606T032331Z-af11a519,shapley,baseline
49,49,B,0,0.1281992000003811,,1024,32,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
69,69,B,1,0.0613293999995221,,1600,50,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
89,89,B,2,0.0484125000002677,,1600,50,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
109,109,B,3,0.0434133999988262,,1600,50,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
129,129,B,4,0.0501223999999638,,1600,50,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
169,169,B,5,0.0484694000006129,,1600,50,marginal,shapley-20260606T032355Z-5a773529,shapley,marginal
49,49,B,0,0.1459479000004648,,1024,32,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
69,69,B,1,0.0861478000006172,,1600,50,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
89,89,B,2,0.080623400001059,,1600,50,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
109,109,B,3,0.0781291000021155,,1600,50,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
129,129,B,4,0.0810256999975536,,1600,50,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
169,169,B,5,0.0806836000010662,,1600,50,conditional,shapley-20260606T032420Z-597c9336,shapley,conditional
