epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1313408999994862,,1024,32,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
69,69,B,1,0.0488833000017621,,1600,50,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
89,89,B,2,0.0406611999969754,,1600,50,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
109,109,B,3,0.0437702999988687,,1600,50,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
129,129,B,4,0.049194899998838,,1600,50,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
169,169,B,5,0.0502360999998927,,1600,50,baseline,shapley-20260606T031645Z-5f5344d1,shapley,baseline
49,49,B,0,0.1316897999968205,,1024,32,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
69,69,B,1,0.0544174000024213,,1600,50,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
89,89,B,2,0.0478040000016335,,1600,50,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
109,109,B,3,0.0518971999990753,,1600,50,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
129,129,B,4,0.0513405999990936,,1600,50,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
169,169,B,5,0.0513713000000279,,1600,50,marginal,shapley-20260606T031710Z-f1b11b8e,shapley,marginal
49,49,B,0,0.1443220000001019,,1024,32,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
69,69,B,1,0.0870079000014811,,1600,50,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
89,89,B,2,0.0756623999986914,,1600,50,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
109,109,B,3,0.0788911999989068,,1600,50,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
129,129,B,4,0.0747498999990057,,1600,50,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
169,169,B,5,0.0751945000010891,,1600,50,conditional,shapley-20260606T031734Z-f3a2858c,shapley,conditional
