entry_type,label,final_val_recon,final_val_pix_recon,best_val_recon,best_val_pix_recon,val_mae,val_rmse,n_test,gap_vs_digit_class_mean,relative_to_digit_class_mean_pct,gap_vs_global_mean,relative_to_global_mean_pct,run_id,final_val_kl,duration_sec
vae,pix_only,0.3025324195623398,,0.2683398723602295,,,,,-0.3423944264650345,-53.09042856164517,-0.6918342858552933,-69.57536712421637,pix_only-20260606T024719Z-14dbbe72,4.967888593673706,12.637484299997595
vae,shapley (conditional),0.3143060207366943,,0.275927186012268,,,,,-0.33062082529068,-51.26485698761664,-0.6800606846809387,-68.39133701638913,shapley-20260606T024831Z-1670e62a,5.004860639572144,13.741958300000988
vae,baseline,0.3165831416845321,,0.2818816751241684,,,,,-0.32834370434284216,-50.91177493468855,-0.6777835637331009,-68.16233488514003,baseline-20260606T024656Z-71ca5239,5.037001609802246,12.652849099999004
vae,shapley (baseline),0.3167881071567535,,0.2821071445941925,,,,,-0.3281387388706208,-50.87999373756768,-0.6775785982608795,-68.14172222070701,shapley-20260606T024743Z-6e742d25,5.022213935852051,13.55629300000146
vae,shapley (marginal),0.3168498277664184,,0.2788754105567932,,,,,-0.32807701826095587,-50.87042356537759,-0.6775168776512146,-68.13551519372908,shapley-20260606T024807Z-7a0d37e1,5.009046792984009,13.64245690000098
baseline,pca_8,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.518687903881073,0.6853297352790833,400.0,-0.18533343076705933,-28.737124513993756,-0.5347732901573181,-53.78028922767621,,,
baseline,digit_class_mean,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6002006530761719,0.7914853096008301,400.0,0.0,0.0,-0.3494398593902588,-35.141950900648304,,,
baseline,global_mean,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.8422827124595642,0.9987046122550964,400.0,0.3494398593902588,54.182867645026924,0.0,0.0,,,
