run_id,training_type,shapley_tactic,threshold_val_pix_recon,reached_threshold,epoch_to_threshold,elapsed_sec_to_threshold,best_val_pix_recon
baseline-20260606T024656Z-71ca5239,baseline,none,0.2959757588803768,True,22,1.644420500007982,0.2818816751241684
pix_only-20260606T024719Z-14dbbe72,pix_only,none,0.2959757588803768,True,16,1.241472400011844,0.2683398723602295
shapley-20260606T024743Z-6e742d25,shapley,baseline,0.2959757588803768,True,24,1.7296721000238904,0.2821071445941925
shapley-20260606T024807Z-7a0d37e1,shapley,marginal,0.2959757588803768,True,22,1.6055814999926952,0.2788754105567932
shapley-20260606T024831Z-1670e62a,shapley,conditional,0.2959757588803768,True,22,1.6296667999959027,0.275927186012268
