loss,recon,recon_base,pix_recon,aux_recon_base,kl,val_loss,val_recon,val_recon_base,val_pix_recon,val_aux_recon_base,val_kl,phase,logical_epoch,advance_epoch_controls,dynamic_aux_step,beta,aux_loss_weight,lr,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,kl_controller_advanced,cycle,sampling_phase,epoch
1.7569061517715454,1.7569061517715454,1.7569061858313424,0.9796433448791504,0.9715784958430699,3.8111855472837175,1.5713310837745667,1.5713310837745667,1.5713311433792114,0.8624378740787506,0.8861165642738342,25.68986988067627,A,0,True,False,0.0,0.8,0.001,0.2836752000002889,0.2836752000002889,50.0,5.0,0.0,True,0,0,0
1.399399791445051,1.399399791445051,1.3993997744151525,0.7701401455061776,0.7865745680672782,34.11284337724958,1.188353180885315,1.188353180885315,1.188353180885315,0.650393933057785,0.6724490821361542,49.91283988952637,A,1,True,False,0.0,0.8,0.001,0.0725047000014456,0.3561799000017345,50.0,5.0,0.0,True,0,0,1
1.119015199797494,1.119015199797494,1.119015199797494,0.6127796939441136,0.632794371673039,49.82030432564871,1.0320268869400024,1.0320268869400024,1.0320268869400024,0.5682490170001984,0.5797223448753357,52.32379722595215,A,2,True,False,0.0,0.8,0.001,0.07071400000131689,0.4268939000030514,50.0,5.0,0.0,True,0,0,2
0.9912177409444537,0.9912177409444537,0.9912177324295044,0.5441946813038417,0.5587787968771798,53.882209232875276,0.9462166428565979,0.9462166428565979,0.9462166428565979,0.5224686563014984,0.529684990644455,54.385637283325195,A,3,True,False,0.0,0.8,0.001,0.07025060000887606,0.49714450001192745,50.0,5.0,0.0,True,0,0,3
0.9171687875475202,0.9171687875475202,0.917168813092368,0.5047718414238521,0.515496198620115,56.11432865687779,0.8852646946907043,0.8852646946907043,0.8852647542953491,0.4876215159893036,0.4970540255308151,56.55344772338867,A,4,True,False,0.0,0.8,0.001,0.07034659999771975,0.5674911000096472,50.0,5.0,0.0,True,0,0,4
0.855378772531237,0.855378772531237,0.8553787640162877,0.4699285626411438,0.4818127453327179,60.04354749407087,0.8340812921524048,0.8340812921524048,0.8340813219547272,0.45764510333538055,0.47054523229599,60.08258819580078,A,5,True,False,0.0,0.8,0.001,0.06977689999621361,0.6372680000058608,50.0,5.0,0.0,True,0,0,5
0.7926842314856393,0.7926842314856393,0.7926842229706901,0.43165323989731924,0.4512887213911329,63.98108073643276,0.7809275984764099,0.7809275984764099,0.7809275984764099,0.4239373803138733,0.44623780250549316,66.10219955444336,A,6,True,False,0.0,0.8,0.001,0.06939649999549147,0.7066645000013523,50.0,5.0,0.0,True,0,0,6
0.7521500161715916,0.7521500161715916,0.7521500076566424,0.40528184175491333,0.4335852180208479,69.73139299665179,0.7391982674598694,0.7391982674598694,0.739198237657547,0.3987588882446289,0.425549179315567,69.3719367980957,A,7,True,False,0.0,0.8,0.001,0.07469860000128392,0.7813631000026362,50.0,5.0,0.0,True,0,0,7
0.6999937977109637,0.6999937977109637,0.6999937721661159,0.37506183981895447,0.4061649101121085,72.08904811314174,0.7075055241584778,0.7075055241584778,0.7075055241584778,0.37896376848220825,0.4106771796941757,72.69917297363281,A,8,True,False,0.0,0.8,0.001,0.06529779999982566,0.8466609000024619,50.0,5.0,0.0,True,0,0,8
0.6772354415484837,0.6772354415484837,0.6772354415484837,0.3598504662513733,0.3967312148639134,74.58593641008649,0.684293657541275,0.684293657541275,0.684293657541275,0.36492903530597687,0.3992058038711548,74.91664123535156,A,9,True,False,0.0,0.8,0.001,0.0728201000019908,0.9194810000044527,50.0,5.0,0.0,True,0,0,9
