run_id,training_type,shapley_tactic,latent_dim,started_at,ended_at,duration_sec,epochs,final_loss,final_recon,final_recon_base,final_pix_recon,final_aux_recon_base,final_kl,final_val_loss,final_val_recon,final_val_recon_base,final_val_pix_recon,final_val_aux_recon_base,final_val_kl
baseline-20260606T024910Z-b4f79ab5,baseline,none,8,2026-06-06T02:48:57.472399+00:00,2026-06-06T02:49:10.144623+00:00,12.672743099999934,200,1.2381049735205514,0.7466580527169364,0.7466580527169364,0.4049190240246909,0.42717378054346355,5.262581075940814,1.0682273507118225,0.6007472276687622,0.6007472276687622,0.31817376613616943,0.3532167971134186,5.005936861038208
pix_only-20260606T024933Z-8d8dc721,pix_only,none,8,2026-06-06T02:49:20.696244+00:00,2026-06-06T02:49:33.301636+00:00,12.604852000000392,200,0.6750539796692985,0.39424758298056467,0.39424758298056467,0.39424758298056467,1.0633953639439173,5.272232804979597,0.5705854594707489,0.30416034162044525,0.30416034162044525,0.30416034162044525,1.0551923513412476,5.0022196769714355
shapley-20260606T024957Z-cc1ba015,shapley,baseline,8,2026-06-06T02:49:44.099675+00:00,2026-06-06T02:49:57.842503+00:00,13.743021899997984,200,1.1947701147624425,0.6970912728990827,0.7544199057987758,0.40369813782828196,0.4384021929332188,5.2548097882952005,1.079271137714386,0.6036795079708099,0.6036795377731323,0.31771397590637207,0.3574569523334503,5.021599054336548
shapley-20260606T025022Z-258e3fc2,shapley,marginal,8,2026-06-06T02:50:08.382550+00:00,2026-06-06T02:50:22.040586+00:00,13.657606900000246,200,1.1692657811301095,0.6853464926992144,0.7541989258357457,0.40308504019464764,0.4388923559870039,5.3119626726422995,1.0613576173782349,0.6045961976051331,0.6045961976051331,0.3176770508289337,0.3586488962173462,5.013851165771484
shapley-20260606T025046Z-425275ea,shapley,conditional,8,2026-06-06T02:50:32.458774+00:00,2026-06-06T02:50:46.413389+00:00,13.953963899999508,200,1.2015355484826225,0.7147447551999774,0.7783550534929548,0.4069099085671561,0.46430641412734985,5.242258753095355,1.073472499847412,0.6112374067306519,0.6112373769283295,0.3150644153356552,0.3702162057161331,4.977818489074707
