epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy
49,0,1,fou,76,0.11342208087444305,0.06683717668056488,positive_share
49,0,1,fac,216,0.9955927729606628,0.5866812467575073,positive_share
49,0,1,kar,64,0.30580106377601624,0.1802019327878952,positive_share
49,0,1,zer,47,0.18305028975009918,0.10786756873130798,positive_share
49,0,1,mor,6,0.09912478923797607,0.0584120899438858,positive_share
69,1,2,fou,76,0.10892362892627716,0.06634347140789032,positive_share
69,1,2,fac,216,0.9914239645004272,0.6038589477539062,positive_share
69,1,2,kar,64,0.26490846276283264,0.16135109961032867,positive_share
69,1,2,zer,47,0.18655386567115784,0.11362668871879578,positive_share
69,1,2,mor,6,0.09000395983457565,0.05481983721256256,positive_share
89,2,3,fou,76,0.12247522920370102,0.07346707582473755,positive_share
89,2,3,fac,216,1.019153356552124,0.6113417148590088,positive_share
89,2,3,kar,64,0.23502099514007568,0.14097793400287628,positive_share
89,2,3,zer,47,0.2006121426820755,0.12033769488334656,positive_share
89,2,3,mor,6,0.0898147001862526,0.053875572979450226,positive_share
109,3,4,fou,76,0.13209275901317596,0.07720028609037399,positive_share
109,3,4,fac,216,1.0655651092529297,0.6227588057518005,positive_share
109,3,4,kar,64,0.21479542553424835,0.1255350261926651,positive_share
109,3,4,zer,47,0.19879314303398132,0.11618265509605408,positive_share
109,3,4,mor,6,0.09979323297739029,0.058323152363300323,positive_share
129,4,5,fou,76,0.16691334545612335,0.08982225507497787,positive_share
129,4,5,fac,216,1.1245867013931274,0.6051817536354065,positive_share
129,4,5,kar,64,0.24240143597126007,0.130445197224617,positive_share
129,4,5,zer,47,0.22675374150276184,0.12202458828687668,positive_share
129,4,5,mor,6,0.09760746359825134,0.05252619460225105,positive_share
169,5,6,fou,76,0.17827320098876953,0.09102526307106018,positive_share
169,5,6,fac,216,1.1963437795639038,0.6108461618423462,positive_share
169,5,6,kar,64,0.24089808762073517,0.12300116568803787,positive_share
169,5,6,zer,47,0.23969148099422455,0.12238507717847824,positive_share
169,5,6,mor,6,0.10329590737819672,0.05274229124188423,positive_share
