run_id,shapley_tactic,sampling_phase,mean_variance,max_variance,mean_effective_count
shapley-20260606T015121Z-09eecc99,baseline,1,0.10784448248159602,0.3954837322235107,32.0
shapley-20260606T015121Z-09eecc99,baseline,2,0.11238170157594136,0.3057146072387695,75.90677070617676
shapley-20260606T015121Z-09eecc99,baseline,3,0.13403183413902295,0.4581871032714844,112.90677070617676
shapley-20260606T015121Z-09eecc99,baseline,4,0.2175957845902303,0.8291964530944824,142.92748832702637
shapley-20260606T015121Z-09eecc99,baseline,5,0.26298005242279027,1.1642377376556396,162.95338535308838
shapley-20260606T015121Z-09eecc99,baseline,6,0.3028182078633108,1.2950692176818848,174.48770880699158
shapley-20260606T015146Z-2b12b98e,marginal,1,0.14121294046344698,0.4124159812927246,32.0
shapley-20260606T015146Z-2b12b98e,marginal,2,0.15093740232987327,0.4885406494140625,80.0
shapley-20260606T015146Z-2b12b98e,marginal,3,0.17991843810887073,0.492997407913208,117.0
shapley-20260606T015146Z-2b12b98e,marginal,4,0.25446448769071134,0.6809349060058594,146.0
shapley-20260606T015146Z-2b12b98e,marginal,5,0.29494165125652216,0.7288296222686768,172.0
shapley-20260606T015146Z-2b12b98e,marginal,6,0.3487817432032898,0.9457862377166748,186.47427797317505
shapley-20260606T015210Z-bef66338,conditional,1,0.14039948166464453,0.4497305154800415,32.0
shapley-20260606T015210Z-bef66338,conditional,2,0.13848270975177,0.4177929162979126,79.0
shapley-20260606T015210Z-bef66338,conditional,3,0.12859531777576189,0.3315799236297607,121.0
shapley-20260606T015210Z-bef66338,conditional,4,0.13824586074406392,0.3133285641670227,149.0
shapley-20260606T015210Z-bef66338,conditional,5,0.14252636242963487,0.3472176194190979,171.0
shapley-20260606T015210Z-bef66338,conditional,6,0.142858171955595,0.3513715267181396,184.07197093963623
