predictor,feature,feature_group,feature_mse
global_mean,fou_000,fou,1.0062850713729858
global_mean,fou_001,fou,0.9379022121429443
global_mean,fou_002,fou,0.9097870588302612
global_mean,fou_003,fou,0.8793310523033142
global_mean,fou_004,fou,1.1087353229522705
global_mean,fou_005,fou,0.9124616980552673
global_mean,fou_006,fou,1.020583987236023
global_mean,fou_007,fou,1.0224549770355225
global_mean,fou_008,fou,1.054070234298706
global_mean,fou_009,fou,1.0332812070846558
global_mean,fou_010,fou,1.0689932107925415
global_mean,fou_011,fou,0.9427304863929749
global_mean,fou_012,fou,0.9735854268074036
global_mean,fou_013,fou,0.9493846297264099
global_mean,fou_014,fou,0.9702833294868469
global_mean,fou_015,fou,1.0573173761367798
global_mean,fou_016,fou,0.8959478735923767
global_mean,fou_017,fou,0.9282156229019165
global_mean,fou_018,fou,1.0957163572311401
global_mean,fou_019,fou,1.1152698993682861
global_mean,fou_020,fou,0.9686538577079773
global_mean,fou_021,fou,0.8746095895767212
global_mean,fou_022,fou,0.9447983503341675
global_mean,fou_023,fou,0.968985378742218
global_mean,fou_024,fou,1.0568780899047852
global_mean,fou_025,fou,1.025376319885254
global_mean,fou_026,fou,1.005422830581665
global_mean,fou_027,fou,1.0008225440979004
global_mean,fou_028,fou,1.0970500707626343
global_mean,fou_029,fou,1.0904250144958496
global_mean,fou_030,fou,1.1949068307876587
global_mean,fou_031,fou,1.0513769388198853
global_mean,fou_032,fou,0.9788005948066711
global_mean,fou_033,fou,1.0384033918380737
global_mean,fou_034,fou,1.2701231241226196
global_mean,fou_035,fou,1.0237025022506714
global_mean,fou_036,fou,0.8818216919898987
global_mean,fou_037,fou,0.9339861273765564
global_mean,fou_038,fou,1.0769596099853516
global_mean,fou_039,fou,1.0676171779632568
global_mean,fou_040,fou,1.1097538471221924
global_mean,fou_041,fou,1.0244171619415283
global_mean,fou_042,fou,1.0303537845611572
global_mean,fou_043,fou,0.9371956586837769
global_mean,fou_044,fou,0.9353395104408264
global_mean,fou_045,fou,0.8923535943031311
global_mean,fou_046,fou,1.1339483261108398
global_mean,fou_047,fou,1.097042441368103
global_mean,fou_048,fou,0.9341809749603271
global_mean,fou_049,fou,0.9302926659584045
global_mean,fou_050,fou,1.0040422677993774
global_mean,fou_051,fou,1.1084794998168945
global_mean,fou_052,fou,0.9100576639175415
global_mean,fou_053,fou,0.8424959778785706
global_mean,fou_054,fou,1.132185935974121
global_mean,fou_055,fou,1.0071296691894531
global_mean,fou_056,fou,0.9708640575408936
global_mean,fou_057,fou,1.0801173448562622
global_mean,fou_058,fou,0.9348711967468262
global_mean,fou_059,fou,0.9901750683784485
global_mean,fou_060,fou,0.9080243110656738
global_mean,fou_061,fou,0.9767475724220276
global_mean,fou_062,fou,0.9882423281669617
global_mean,fou_063,fou,1.0602970123291016
global_mean,fou_064,fou,0.984912633895874
global_mean,fou_065,fou,0.8942391276359558
global_mean,fou_066,fou,1.120870590209961
global_mean,fou_067,fou,1.1595538854599
global_mean,fou_068,fou,0.9467352032661438
global_mean,fou_069,fou,0.9297481775283813
global_mean,fou_070,fou,1.1822705268859863
global_mean,fou_071,fou,1.072431206703186
global_mean,fou_072,fou,1.088460087776184
global_mean,fou_073,fou,0.9823152422904968
global_mean,fou_074,fou,0.9113330245018005
global_mean,fou_075,fou,1.0148959159851074
global_mean,fac_000,fac,0.9267969727516174
global_mean,fac_001,fac,0.9743360877037048
global_mean,fac_002,fac,1.044560432434082
global_mean,fac_003,fac,0.8965175151824951
