node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
0,0,0,1.0,-1.399976134300232,2.120721340179444,0.1607881784439087,32.0,0.0,1.0,0.1726510226726532,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
1,10000,1,0.4000000059604645,-1.3261830806732178,1.892919421195984,0.1341578960418701,32.0,0.0,1.0,0.063717320561409,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
2,1000,1,0.4000000059604645,-0.5202986001968384,0.3192689716815948,0.0485583245754241,32.0,0.0,1.0,0.0387321189045906,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
3,11000,2,0.2000000029802322,-0.3443765044212341,0.1448059976100921,0.0262108221650123,32.0,0.0,1.0,0.0148608451709151,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
4,100,1,0.4000000059604645,-1.206202745437622,1.5585715770721436,0.1036465167999267,32.0,0.0,1.0,0.0561260245740413,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
5,10100,2,0.2000000029802322,-0.9677632451057434,1.10941743850708,0.1728517413139343,32.0,0.0,1.0,0.0365947745740413,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
6,1100,2,0.2000000029802322,-0.2178442776203155,0.0675877481698989,0.0201316177845001,32.0,0.0,1.0,0.0131475506350398,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
7,11100,3,0.2000000029802322,-0.1866351664066314,0.0455189682543277,0.0106862820684909,32.0,0.0,1.0,0.0098503958433866,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
8,10,1,0.4000000059604645,-1.1646722555160522,1.4506309032440186,0.0941694974899292,32.0,0.0,1.0,0.0535453706979751,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
9,10010,2,0.2000000029802322,-0.986979365348816,1.0658507347106934,0.0917224884033203,32.0,0.0,1.0,0.0269290916621685,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
10,1010,2,0.2000000029802322,-0.3407899141311645,0.1317285001277923,0.0155907347798347,32.0,0.0,1.0,0.0116901220753788,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
11,11010,3,0.2000000029802322,-0.226690262556076,0.0600244216620922,0.0086359456181526,32.0,0.0,1.0,0.0089561743661761,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
12,110,2,0.2000000029802322,-0.8653987050056458,0.867849588394165,0.118934690952301,32.0,0.0,1.0,0.0305259358137846,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
13,10110,3,0.2000000029802322,-0.8564910292625427,0.8355382680892944,0.1019613742828369,32.0,0.0,1.0,0.0283380299806594,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
14,1110,3,0.2000000029802322,-0.1369671523571014,0.0300915725529193,0.0113315712660551,32.0,0.0,1.0,0.0101136937737464,32,0.0,49,0,1,shapley-20260606T024059Z-997435cd,shapley,baseline
