epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy,run_id,training_type,shapley_tactic
129,4,5,fac,216,1.1309877634048462,0.6066924333572388,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
129,4,5,kar,64,0.2555370032787323,0.1370769590139389,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
129,4,5,zer,47,0.237843170762062,0.1275855153799057,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
129,4,5,mor,6,0.0871215984225273,0.0467343814671039,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
169,5,6,fou,76,0.1729314476251602,0.088895134627819,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
169,5,6,fac,216,1.1766926050186155,0.6048769950866699,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
169,5,6,kar,64,0.2618029713630676,0.1345794051885604,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
169,5,6,zer,47,0.2326626628637313,0.1195998713374137,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
169,5,6,mor,6,0.101252406835556,0.0520486384630203,positive_share,shapley-20260606T024123Z-875dcf4a,shapley,marginal
49,0,1,fou,76,0.0913765281438827,0.0793155655264854,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
49,0,1,fac,216,0.6189553141593933,0.5372582077980042,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
49,0,1,kar,64,0.2465845346450805,0.2140373736619949,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
49,0,1,zer,47,0.1746523678302765,0.1515996605157852,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
49,0,1,mor,6,0.0204942170530557,0.0177891459316015,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
69,1,2,fou,76,0.0307532362639904,0.0342981666326522,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
69,1,2,fac,216,0.5444777607917786,0.607239842414856,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
69,1,2,kar,64,0.1941180974245071,0.2164941281080246,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
69,1,2,zer,47,0.1203765869140625,0.1342524141073227,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
69,1,2,mor,6,0.0069180121645331,0.007715452928096,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
89,2,3,fou,76,0.0484624989330768,0.0554805845022201,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
89,2,3,fac,216,0.519355297088623,0.5945656299591064,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
89,2,3,kar,64,0.1749958544969558,0.2003378421068191,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
89,2,3,zer,47,0.1193782091140747,0.136665940284729,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
89,2,3,mor,6,0.0113119147717952,0.0129500469192862,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
109,3,4,fou,76,0.0580711923539638,0.0661492273211479,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
109,3,4,fac,216,0.5266520977020264,0.5999124050140381,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
109,3,4,kar,64,0.1654476523399353,0.1884623616933822,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
109,3,4,zer,47,0.1134750097990036,0.1292600333690643,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
109,3,4,mor,6,0.0142356846481561,0.0162159502506256,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
129,4,5,fou,76,0.0571100339293479,0.0684573873877525,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
129,4,5,fac,216,0.5137298703193665,0.6158043146133423,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
129,4,5,kar,64,0.1560134142637252,0.1870121508836746,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
129,4,5,zer,47,0.1018846407532692,0.1221283823251724,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
129,4,5,mor,6,0.0055041294544935,0.0065977601334452,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
169,5,6,fou,76,0.0524453893303871,0.0657660290598869,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
169,5,6,fac,216,0.503881573677063,0.6318627595901489,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
169,5,6,kar,64,0.1500551849603653,0.1881677955389022,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
169,5,6,zer,47,0.0908942222595214,0.1139805018901825,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
169,5,6,mor,6,0.0001777650322765,0.0002229156816611,positive_share,shapley-20260606T024148Z-2f9cf9d1,shapley,conditional
