loss,recon,recon_base,pix_recon,aux_recon_base,kl,val_loss,val_recon,val_recon_base,val_pix_recon,val_aux_recon_base,val_kl,phase,logical_epoch,advance_epoch_controls,dynamic_aux_step,beta,aux_loss_weight,lr,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,kl_controller_advanced,cycle,sampling_phase,epoch
1.7303267887660436,1.7303267887660436,1.7303267547062464,0.9695450748716082,0.9509771125657218,5.9578806055443625,1.4907389879226685,1.4907389879226685,1.4907389879226685,0.8392879366874695,0.8143137991428375,21.511244773864746,A,0,True,False,0.0,0.8,0.001,0.2541750999989745,0.2541750999989745,50.0,5.0,0.0,True,0,0,0
1.364820429256984,1.364820429256984,1.3648204462868827,0.7610163348061698,0.7547551393508911,30.43379238673619,1.206504464149475,1.206504464149475,1.206504464149475,0.6656976938247681,0.676008403301239,43.87555694580078,A,1,True,False,0.0,0.8,0.001,0.0653853000003437,0.3195603999993182,50.0,5.0,0.0,True,0,0,1
1.1162795339311873,1.1162795339311873,1.1162795339311873,0.6164952686854771,0.6247303315571376,49.462592533656526,1.0064956545829773,1.0064956545829773,1.0064956545829773,0.5523398518562317,0.567694753408432,55.729339599609375,A,2,True,False,0.0,0.8,0.001,0.06019709999964107,0.37975749999895925,50.0,5.0,0.0,True,0,0,2
0.9621438809803554,0.9621438809803554,0.9621438809803554,0.5284392833709717,0.5421307555266789,57.352557046072825,0.9145245850086212,0.9145245850086212,0.9145245850086212,0.5026971250772476,0.5147843360900879,57.80097579956055,A,3,True,False,0.0,0.8,0.001,0.06497369999851799,0.44473119999747723,50.0,5.0,0.0,True,0,0,3
0.8892100538526263,0.8892100538526263,0.8892100623675755,0.4877810903957912,0.5017861894198826,58.670880453927175,0.8532581925392151,0.8532581925392151,0.8532581925392151,0.4675595611333847,0.4821232855319977,59.95089340209961,A,4,True,False,0.0,0.8,0.001,0.062479500000335975,0.5072106999978132,50.0,5.0,0.0,True,0,0,4
0.8313908747264317,0.8313908747264317,0.8313908662114825,0.45587797675813946,0.4693911075592041,61.01167351858957,0.8093220591545105,0.8093220591545105,0.8093220889568329,0.44235488772392273,0.4587090015411377,62.03342628479004,A,5,True,False,0.0,0.8,0.001,0.06176979999872856,0.5689804999965418,50.0,5.0,0.0,True,0,0,5
0.7858690449169704,0.7858690449169704,0.7858690193721226,0.42615212712969097,0.4496461067880903,64.43257468087333,0.7721961438655853,0.7721961438655853,0.7721961140632629,0.4181579500436783,0.4425477236509323,64.0845947265625,A,6,True,False,0.0,0.8,0.001,0.06338210000103572,0.6323625999975775,50.0,5.0,0.0,True,0,0,6
0.7327265994889396,0.7327265994889396,0.7327265994889396,0.39434793165751864,0.4229733262743269,67.08700670514789,0.7414327263832092,0.7414327263832092,0.7414326965808868,0.39766041934490204,0.4297153651714325,67.83449172973633,A,7,True,False,0.0,0.8,0.001,0.06063480000011623,0.6929973999976937,50.0,5.0,0.0,True,0,0,7
0.7105469788823809,0.7105469788823809,0.7105469873973301,0.3782366897378649,0.41538784333637785,70.56834411621094,0.7151883840560913,0.7151883840560913,0.7151883840560913,0.38110385835170746,0.4176056683063507,70.3744010925293,A,8,True,False,0.0,0.8,0.001,0.06430969999928493,0.7573070999969786,50.0,5.0,0.0,True,0,0,8
0.6805707727159772,0.6805707727159772,0.6805707897458758,0.36117009605680195,0.39925085646765573,72.41889081682477,0.6954746246337891,0.6954746246337891,0.6954746544361115,0.36881937086582184,0.4083191007375717,73.64350509643555,A,9,True,False,0.0,0.8,0.001,0.06130040000061854,0.8186074999975972,50.0,5.0,0.0,True,0,0,9
