loss,recon,recon_base,pix_recon,aux_recon_base,kl,val_loss,val_recon,val_recon_base,val_pix_recon,val_aux_recon_base,val_kl,phase,logical_epoch,advance_epoch_controls,dynamic_aux_step,beta,aux_loss_weight,lr,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,kl_controller_advanced,cycle,sampling_phase,epoch
1.7322324854987008,1.7322324854987008,1.7322324854987008,0.9675783855574471,0.955817631312779,4.6467708732400625,1.5287361145019531,1.5287361145019531,1.528736174106598,0.8389067053794861,0.862286776304245,25.367431640625,A,0,True,False,0.0,0.8,0.001,0.25334989999828395,0.25334989999828395,50.0,5.0,0.0,True,0,0,0
1.4100973435810633,1.4100973435810633,1.4100973776408605,0.7764537675040108,0.7920544998986381,31.05624144417899,1.3059521913528442,1.3059521913528442,1.3059521913528442,0.7211081981658936,0.7310550510883331,35.96129608154297,A,1,True,False,0.0,0.8,0.001,0.06092179999905056,0.3142716999973345,50.0,5.0,0.0,True,0,0,1
1.2223887954439436,1.2223887954439436,1.222388812473842,0.6748051643371582,0.6844795686858041,43.12444305419922,1.1007612943649292,1.1007612943649292,1.1007612943649292,0.609608381986618,0.6139411926269531,50.822547912597656,A,2,True,False,0.0,0.8,0.001,0.06076469999970868,0.3750363999970432,50.0,5.0,0.0,True,0,0,2
1.031400408063616,1.031400408063616,1.031400442123413,0.5686115026473999,0.5784861445426941,55.25401905604771,0.9617689251899719,0.9617689251899719,0.9617689251899719,0.5289334654808044,0.5410443544387817,57.437143325805664,A,3,True,False,0.0,0.8,0.001,0.06290199999784818,0.43793839999489137,50.0,5.0,0.0,True,0,0,3
0.9306206958634513,0.9306206958634513,0.9306206703186035,0.5125199130603245,0.5226259657314846,60.17881284441267,0.8842636346817017,0.8842636346817017,0.8842636346817017,0.4845845103263855,0.499598890542984,59.78579139709473,A,4,True,False,0.0,0.8,0.001,0.06299880000005942,0.5009371999949508,50.0,5.0,0.0,True,0,0,4
0.8523180740220206,0.8523180740220206,0.8523180484771729,0.46401932409831453,0.48537339908736093,61.76935141427176,0.8309290409088135,0.8309290409088135,0.8309290409088135,0.4522897005081177,0.47329917550086975,61.39253234863281,A,5,True,False,0.0,0.8,0.001,0.06270109999968554,0.5636382999946363,50.0,5.0,0.0,True,0,0,5
0.7911517109189715,0.7911517109189715,0.79115172794887,0.42664544922964914,0.4556328313691275,64.61905452183315,0.779925137758255,0.779925137758255,0.7799251079559326,0.4209017753601074,0.4487791657447815,64.33296203613281,A,6,True,False,0.0,0.8,0.001,0.0626559999982419,0.6262942999928782,50.0,5.0,0.0,True,0,0,6
0.7417734946523394,0.7417734946523394,0.7417734946523394,0.39703717827796936,0.4309203965323312,67.82539585658482,0.740390956401825,0.740390956401825,0.740390956401825,0.3968864381313324,0.4293806403875351,67.2096061706543,A,7,True,False,0.0,0.8,0.001,0.0654370000011113,0.6917312999939895,50.0,5.0,0.0,True,0,0,7
0.7024649892534528,0.7024649892534528,0.7024650147983006,0.37387384261403767,0.41073894926479887,69.4004407610212,0.7082923650741577,0.7082923650741577,0.7082923948764801,0.37711478769779205,0.4139719754457474,70.45173263549805,A,8,True,False,0.0,0.8,0.001,0.05967400000008638,0.7514052999940759,50.0,5.0,0.0,True,0,0,8
0.6742184673036847,0.6742184673036847,0.6742184673036847,0.35592171124049593,0.3978709237916129,73.09638432094029,0.6811624467372894,0.6811624467372894,0.6811624467372894,0.3592648506164551,0.40237200260162354,73.00156784057617,A,9,True,False,0.0,0.8,0.001,0.05974890000288724,0.8111541999969631,50.0,5.0,0.0,True,0,0,9
