feature,mean_diff,std_diff,mae,q05,q50,q95
fou_000,-0.020519189536571503,0.09989047795534134,0.08363925665616989,-0.1798676997423172,-0.006697610020637512,0.14080968499183655
fou_001,0.0010485148523002863,0.18996690213680267,0.16617810726165771,-0.28370681405067444,-0.04018738865852356,0.3000911772251129
fou_002,0.02613801509141922,0.14953365921974182,0.12401581555604935,-0.21748872101306915,0.012333929538726807,0.2678678631782532
fou_003,-0.003851772053167224,0.11439964920282364,0.0881393700838089,-0.18927007913589478,0.009087659418582916,0.16328608989715576
fou_004,0.014215352945029736,0.16595230996608734,0.1388225108385086,-0.2905356287956238,0.037162721157073975,0.24682381749153137
fou_005,0.0005062416312284768,0.09391797333955765,0.07335250079631805,-0.1897404044866562,0.013286389410495758,0.13340985774993896
fou_006,-0.030571721494197845,0.13373275101184845,0.1055532768368721,-0.26842179894447327,-0.027323350310325623,0.2085091769695282
fou_007,0.023885369300842285,0.12754833698272705,0.11256343871355057,-0.16366775333881378,0.010133743286132812,0.22413277626037598
fou_008,-0.003280807053670287,0.1170966625213623,0.09267860651016235,-0.21570377051830292,0.0012647360563278198,0.17996440827846527
fou_009,-0.018003039062023163,0.08577381074428558,0.06931376457214355,-0.17972828447818756,-0.0026849694550037384,0.10046547651290894
fou_010,0.0071267010644078255,0.08711644262075424,0.07254642248153687,-0.13878268003463745,0.009004060178995132,0.14080354571342468
fou_011,0.010874133557081223,0.08084718883037567,0.06787749379873276,-0.11676421761512756,0.00362376868724823,0.13981494307518005
fou_012,-0.019589776173233986,0.09031454473733902,0.07523559778928757,-0.17546258866786957,-0.012875139713287354,0.11303801089525223
fou_013,1.9541382698662346e-06,0.10932934284210205,0.09002120792865753,-0.19329634308815002,0.020316094160079956,0.1463996320962906
fou_014,0.011976120062172413,0.06355120986700058,0.05314652994275093,-0.09800933301448822,0.014315314590930939,0.10884812474250793
fou_015,-0.006509332451969385,0.06073303520679474,0.04896894842386246,-0.10902051627635956,-0.003620404750108719,0.08475445210933685
fou_016,0.010269394144415855,0.06794147938489914,0.05493387207388878,-0.11744491755962372,0.013265565037727356,0.10598216950893402
fou_017,0.01823275163769722,0.08213015645742416,0.0707075297832489,-0.13676254451274872,0.03256475180387497,0.1269025206565857
fou_018,-0.008582682348787785,0.06303176283836365,0.050455618649721146,-0.11768245697021484,-0.0014835633337497711,0.08224859833717346
fou_019,-0.0011563068255782127,0.05388087406754494,0.04231733828783035,-0.1008620634675026,0.003047224134206772,0.07748264074325562
fou_020,0.0025774878449738026,0.05048702284693718,0.040744371712207794,-0.0848836600780487,0.006039313971996307,0.07653222978115082
fou_021,0.00802130252122879,0.05415617302060127,0.044580649584531784,-0.07498861849308014,0.011009130626916885,0.08707530051469803
fou_022,0.009205695241689682,0.058123260736465454,0.048164576292037964,-0.09898696839809418,0.017291877418756485,0.08960986882448196
fou_023,0.005155855789780617,0.0629081055521965,0.05204574763774872,-0.10887153446674347,0.01283080130815506,0.091683030128479
