loss,recon,recon_base,pix_recon,aux_recon_base,kl,val_loss,val_recon,val_recon_base,val_pix_recon,val_aux_recon_base,val_kl,beta,aux_loss_weight,lr,logical_epoch,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,kl_controller_advanced,epoch,run_id,training_type,shapley_tactic,phase,advance_epoch_controls,dynamic_aux_step,cycle,sampling_phase
1.7584122930254256,1.7584122930254256,1.7584122930254256,0.9773851462772916,0.9762839164052692,4.214071535638401,1.5612727999687197,1.5612727999687197,1.5612727403640747,0.8588805198669434,0.8779902458190918,26.250056266784668,0.0,0.8,0.001,0,0.2835240999993402,0.2835240999993402,50.0,5.0,0.0,True,0,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
1.39088203225817,1.39088203225817,1.3908819981983729,0.7711847679955619,0.7746215462684631,36.128012248447966,1.1964499950408936,1.1964499950408936,1.1964499950408936,0.6611021459102631,0.6691848933696747,45.93731117248535,0.0,0.8,0.001,1,0.0624898999994911,0.3460139999988314,50.0,5.0,0.0,True,1,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
1.11278235912323,1.11278235912323,1.1127824102129256,0.6117856247084481,0.6262459414345878,53.05266734531948,1.0220300555229187,1.0220300555229187,1.0220300555229187,0.5602626800537109,0.5772092640399933,55.10673141479492,0.0,0.8,0.001,2,0.061764399999447,0.4077783999982785,50.0,5.0,0.0,True,2,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.9770778332437788,0.9770778332437788,0.9770778247288296,0.5360745957919529,0.5512540425573077,57.72791017804827,0.9221743643283844,0.9221743643283844,0.922174334526062,0.5046963840723038,0.5218474268913269,57.57790756225586,0.0,0.8,0.001,3,0.0649052000007941,0.4726835999990726,50.0,5.0,0.0,True,3,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.8855729188237872,0.8855729188237872,0.8855729017938886,0.4831862109048025,0.5029833699975695,61.206900460379465,0.843557596206665,0.843557596206665,0.843557596206665,0.4583875983953476,0.4814625382423401,62.387155532836914,0.0,0.8,0.001,4,0.0603582999992795,0.5330418999983522,50.0,5.0,0.0,True,4,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.8105530909129551,0.8105530909129551,0.8105530823980059,0.4381795184952872,0.4654669506209237,64.96475655691964,0.7840226590633392,0.7840226590633392,0.7840226888656616,0.4220021218061447,0.452525720000267,64.84186553955078,0.0,0.8,0.001,5,0.0632190000014816,0.5962608999998338,50.0,5.0,0.0,True,5,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.7499414937836784,0.7499414937836784,0.7499414937836784,0.3998304392610277,0.4376388107027326,67.97251892089844,0.742359459400177,0.742359459400177,0.742359459400177,0.3963446617126465,0.4325184971094131,66.75425338745117,0.0,0.8,0.001,6,0.0648560999998153,0.6611169999996491,50.0,5.0,0.0,True,6,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.7069403103419712,0.7069403103419712,0.706940301827022,0.3748059400490352,0.4151679490293775,70.5947494506836,0.7072853147983551,0.7072853147983551,0.7072853147983551,0.3751651793718338,0.4151501506567001,69.97747039794922,0.0,0.8,0.001,7,0.0625980000004347,0.7237150000000838,50.0,5.0,0.0,True,7,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.6760011145046779,0.6760011145046779,0.6760011145046779,0.3556796993528093,0.4004017497811998,73.70313916887555,0.6836011409759521,0.6836011409759521,0.6836011409759521,0.3608088344335556,0.4034903794527054,72.51169204711914,0.0,0.8,0.001,8,0.0670969000002514,0.7908119000003353,50.0,5.0,0.0,True,8,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
0.6463540622166225,0.6463540622166225,0.6463540622166225,0.3397379304681505,0.3832701572350093,75.73343004499164,0.6635257005691528,0.6635257005691528,0.6635257005691528,0.3490574806928634,0.3930852860212326,75.4616584777832,0.0,0.8,0.001,9,0.0674551000010978,0.8582670000014332,50.0,5.0,0.0,True,9,baseline-20260606T020616Z-2845e4ea,baseline,none,,,,,
