epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.14756210000268766,,1024,32,conditional
69,69,B,1,0.08348880000266945,,1600,50,conditional
89,89,B,2,0.07684599999993225,,1600,50,conditional
109,109,B,3,0.07871560000057798,,1600,50,conditional
129,129,B,4,0.07423740000012913,,1600,50,conditional
169,169,B,5,0.08341130000189878,,1600,50,conditional
