node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase
0,00000,0,1.0,-1.4061834812164307,2.322998523712158,0.3456465005874634,32.0,0.0,1.0,0.17671841382980347,32,0.0,49,0,1
1,10000,1,0.4000000059604645,-1.5886507034301758,2.910571575164795,0.3867604732513428,32.0,0.0,1.0,0.07535021752119064,32,0.0,49,0,1
2,01000,1,0.4000000059604645,-0.6842130422592163,0.580451250076294,0.11230376362800598,32.0,0.0,1.0,0.041064370423555374,32,0.0,49,0,1
3,11000,2,0.20000000298023224,-0.5703571438789368,0.4542526602745056,0.12894538044929504,32.0,0.0,1.0,0.022465156391263008,32,0.0,49,0,1
4,00100,1,0.4000000059604645,-1.2550139427185059,1.8243682384490967,0.24930822849273682,32.0,0.0,1.0,0.06069383770227432,32,0.0,49,0,1
5,10100,2,0.20000000298023224,-1.257952094078064,1.8625677824020386,0.280124306678772,32.0,0.0,1.0,0.0326378233730793,32,0.0,49,0,1
6,01100,2,0.20000000298023224,-0.3869612216949463,0.19976626336574554,0.050027281045913696,32.0,0.0,1.0,0.014370099641382694,32,0.0,49,0,1
7,11100,3,0.20000000298023224,-0.31810134649276733,0.13236647844314575,0.031178012490272522,32.0,0.0,1.0,0.011554931290447712,32,0.0,49,0,1
8,00010,1,0.4000000059604645,-1.4335238933563232,2.304910182952881,0.24991941452026367,32.0,0.0,1.0,0.06076696515083313,32,0.0,49,0,1
9,10010,2,0.20000000298023224,-1.1466361284255981,1.5165002346038818,0.20172584056854248,32.0,0.0,1.0,0.027848001569509506,32,0.0,49,0,1
10,01010,2,0.20000000298023224,-0.4345690608024597,0.2408626675605774,0.05201239883899689,32.0,0.0,1.0,0.014632786624133587,32,0.0,49,0,1
11,11010,3,0.20000000298023224,-0.32584065198898315,0.12559056282043457,0.01941843330860138,32.0,0.0,1.0,0.009329871274530888,32,0.0,49,0,1
