entry_type,label,final_val_recon,final_val_pix_recon,best_val_recon,best_val_pix_recon,val_mae,val_rmse,n_test,gap_vs_digit_class_mean,relative_to_digit_class_mean_pct,gap_vs_global_mean,relative_to_global_mean_pct,run_id,final_val_kl,duration_sec
vae,pix_only,0.3045177310705185,,0.2721338719129562,,,,,-0.3404091149568558,-52.782593414076445,-0.6898489743471146,-69.37571125306118,pix_only-20260606T164021Z-bcc4b51f,4.9949049949646,12.795846399996664
vae,shapley (conditional),0.3123817145824432,,0.2780545949935913,,,,,-0.3325451314449311,-51.563232867936165,-0.6819849908351898,-68.58485779134739,shapley-20260606T164143Z-a93b70d5,5.0166308879852295,15.371104200006812
vae,shapley (baseline),0.3163992166519165,,0.281068205833435,,,,,-0.32852762937545776,-50.940293678131866,-0.6779674887657166,-68.18083158576502,shapley-20260606T164046Z-dd3567b9,5.030622005462647,13.733312299998945
vae,shapley (marginal),0.3192480653524399,,0.2797605097293854,,,,,-0.3256787806749344,-50.49856160912718,-0.6751186400651932,-67.89433278356238,shapley-20260606T164113Z-078f6416,5.01772141456604,16.147867100007716
vae,baseline,0.3195251524448395,,0.28310327231884,,,,,-0.3254016935825348,-50.455597497134264,-0.6748415529727936,-67.86646709871091,baseline-20260606T163958Z-45f4296e,4.986215829849243,13.03151020000223
baseline,pca_8,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.518687903881073,0.6853297352790833,400.0,-0.18533343076705933,-28.737124513993756,-0.5347732901573181,-53.78028922767621,,,
baseline,digit_class_mean,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6002006530761719,0.7914853096008301,400.0,0.0,0.0,-0.3494398593902588,-35.141950900648304,,,
baseline,global_mean,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.8422827124595642,0.9987046122550964,400.0,0.3494398593902588,54.182867645026924,0.0,0.0,,,
