epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.14929239999764832,,1024,32,conditional
69,69,B,1,0.07802600000286475,,1600,50,conditional
89,89,B,2,0.08185759999832953,,1600,50,conditional
109,109,B,3,0.07676310000169906,,1600,50,conditional
129,129,B,4,0.0727381000033347,,1600,50,conditional
169,169,B,5,0.07350610000139568,,1600,50,conditional
