epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.12765519999993558,,1024,32,marginal
69,69,B,1,0.053522100000918726,,1600,50,marginal
89,89,B,2,0.05024489999959769,,1600,50,marginal
109,109,B,3,0.04688299999907031,,1600,50,marginal
129,129,B,4,0.05392759999995178,,1600,50,marginal
169,169,B,5,0.04976790000000619,,1600,50,marginal
