loss,recon,kl,val_loss,val_recon,val_kl,beta,lr,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,epoch
1.0081442594528198,1.0081442594528198,0.6400437597185373,0.9870156049728394,0.9870156049728394,2.7194273471832275,0.0,0.001,0.19364249997306615,0.19364249997306615,10.0,1.0,0.0,0
0.968907356262207,0.968907356262207,4.5961737632751465,0.8919907212257385,0.8919907212257385,14.016518592834473,0.0,0.001,0.0288931000395678,0.22253560001263395,10.0,1.0,0.0,1
0.8633053302764893,0.8633053302764893,18.55691623687744,0.797776460647583,0.797776460647583,24.087406158447266,0.0,0.001,0.028445300005842,0.25098090001847595,10.0,1.0,0.0,2
0.7668411731719971,0.7668411731719971,24.480034828186035,0.7210644483566284,0.7210644483566284,25.52503776550293,0.0,0.001,0.027772300003562123,0.2787532000220381,10.0,1.0,0.0,3
0.6997143626213074,0.6997143626213074,27.73111629486084,0.6770206093788147,0.6770206093788147,32.692386627197266,0.0,0.001,0.027613000012934208,0.3063662000349723,10.0,1.0,0.0,4
0.6517233848571777,0.6517233848571777,33.536569595336914,0.6246538162231445,0.6246538162231445,31.763273239135742,0.0,0.001,0.02725890005240217,0.33362510008737445,10.0,1.0,0.0,5
0.6105189025402069,0.6105189025402069,32.04715347290039,0.5973089933395386,0.5973089933395386,31.84477424621582,0.0,0.001,0.027526999998372048,0.3611521000857465,10.0,1.0,0.0,6
0.5852186381816864,0.5852186381816864,33.12422752380371,0.5756504535675049,0.5756504535675049,32.96965408325195,0.0,0.001,0.0280034999595955,0.389155600045342,10.0,1.0,0.0,7
0.5613306164741516,0.5613306164741516,32.99083423614502,0.5541765093803406,0.5541765093803406,32.04680252075195,0.0,0.001,0.027725099993404,0.416880700038746,10.0,1.0,0.0,8
0.5424192845821381,0.5424192845821381,32.80084419250488,0.5355583429336548,0.5355583429336548,33.55998992919922,0.0,0.001,0.0296813000459224,0.4465620000846684,10.0,1.0,0.0,9
0.5237177014350891,0.5237177014350891,34.53366279602051,0.5176422595977783,0.5176422595977783,34.72317123413086,0.0,0.001,0.0283890999853611,0.4749511000700295,10.0,1.0,0.001,10
0.5375735461711884,0.5032076835632324,34.3658390045166,0.5305414795875549,0.4993516206741333,31.189863204956055,0.001,0.001,0.026624699996318668,0.5015758000663482,9.93991989319092,1.0,0.002,11
0.5463951230049133,0.48632292449474335,30.036094665527344,0.5336334109306335,0.4839403033256531,24.84654426574707,0.002,0.001,0.02648980001686141,0.5280656000832096,9.880557398805575,1.0,0.003,12
