epoch,cycle,sampling_phase,block,block_size,phi_raw,weight,aux_weight_policy,run_id,training_type,shapley_tactic
49,0,1,fou,76,0.0779914557933807,0.0523233152925968,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
49,0,1,fac,216,0.897998571395874,0.6024539470672607,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
49,0,1,kar,64,0.2314795702695846,0.1552962213754654,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
49,0,1,zer,47,0.1858791559934616,0.1247035786509513,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
49,0,1,mor,6,0.0972192287445068,0.0652229413390159,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
69,1,2,fou,76,0.09091667085886,0.0624606013298034,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
69,1,2,fac,216,0.8824633359909058,0.6062605381011963,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
69,1,2,kar,64,0.2285704910755157,0.1570300608873367,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
69,1,2,zer,47,0.171700045466423,0.1179595366120338,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
69,1,2,mor,6,0.0819337740540504,0.0562892667949199,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
89,2,3,fou,76,0.1093338057398796,0.0702804401516914,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
89,2,3,fac,216,0.9293643236160278,0.5974010825157166,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
89,2,3,kar,64,0.2334215342998504,0.1500447988510131,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
89,2,3,zer,47,0.1928835064172744,0.1239867061376571,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
89,2,3,mor,6,0.0906757563352584,0.0582869350910186,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
109,3,4,fou,76,0.1064865216612815,0.0632693842053413,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
109,3,4,fac,216,1.0214948654174805,0.6069251894950867,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
109,3,4,kar,64,0.2449084520339965,0.1455133259296417,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
109,3,4,zer,47,0.2160357534885406,0.1283584982156753,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
109,3,4,mor,6,0.0941400080919265,0.055933654308319,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
129,4,5,fou,76,0.1342132985591888,0.0732681676745414,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
129,4,5,fac,216,1.0813907384872437,0.590340256690979,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
129,4,5,kar,64,0.2682436406612396,0.1464364528656005,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
129,4,5,zer,47,0.2391978055238723,0.1305800974369049,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
129,4,5,mor,6,0.1087636053562164,0.0593749657273292,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
169,5,6,fou,76,0.1492687761783599,0.0738542377948761,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
169,5,6,fac,216,1.1720473766326904,0.5798979997634888,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
169,5,6,kar,64,0.312529444694519,0.1546312868595123,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
169,5,6,zer,47,0.262493371963501,0.1298747658729553,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
169,5,6,mor,6,0.1247878894209861,0.0617417432367801,positive_share,shapley-20260606T030746Z-9fe096d9,shapley,baseline
49,0,1,fou,76,0.1674535870552063,0.0997814014554023,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
49,0,1,fac,216,0.9238005876541138,0.5504696369171143,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
49,0,1,kar,64,0.2717750668525696,0.1619439572095871,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
49,0,1,zer,47,0.1923078745603561,0.1145914494991302,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
49,0,1,mor,6,0.1228674352169036,0.0732136294245719,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
69,1,2,fou,76,0.1220385730266571,0.0754856020212173,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
69,1,2,fac,216,0.9484200477600098,0.586634635925293,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
69,1,2,kar,64,0.2675693035125732,0.1655020117759704,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
69,1,2,zer,47,0.1990111470222473,0.1230961307883262,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
69,1,2,mor,6,0.0796742290258407,0.049281608313322,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
89,2,3,fou,76,0.1081295683979988,0.0668270140886306,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
89,2,3,fac,216,0.9670291543006896,0.5976502895355225,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
89,2,3,kar,64,0.2352669686079025,0.1454013884067535,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
89,2,3,zer,47,0.2083609998226165,0.1287727653980255,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
89,2,3,mor,6,0.0992650613188743,0.0613485090434551,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
109,3,4,fou,76,0.1231506392359733,0.0724891796708107,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
109,3,4,fac,216,1.0406477451324463,0.6125481724739075,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
109,3,4,kar,64,0.2424114644527435,0.1426887363195419,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
109,3,4,zer,47,0.2038813233375549,0.1200090423226356,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
109,3,4,mor,6,0.0887918844819068,0.0522648580372333,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
129,4,5,fou,76,0.1258439272642135,0.0697864070534706,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
129,4,5,fac,216,1.1168527603149414,0.6193476319313049,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
129,4,5,kar,64,0.2658697366714477,0.1474373340606689,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
129,4,5,zer,47,0.1777373254299163,0.0985637456178665,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
129,4,5,mor,6,0.1169690564274787,0.0648648664355278,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
169,5,6,fou,76,0.1148955076932907,0.0636041909456253,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
169,5,6,fac,216,1.1643229722976685,0.6445493102073669,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
169,5,6,kar,64,0.2508184015750885,0.1388487815856933,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
169,5,6,zer,47,0.1918782144784927,0.1062204986810684,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
169,5,6,mor,6,0.0844991132616996,0.0467772670090198,positive_share,shapley-20260606T030811Z-5c3af225,shapley,marginal
49,0,1,fou,76,0.0424274466931819,0.040189228951931,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
49,0,1,fac,216,0.6156876087188721,0.5832076072692871,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
49,0,1,kar,64,0.2011798322200775,0.1905667930841446,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
49,0,1,zer,47,0.1963970810174942,0.1860363483428955,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
49,0,1,mor,6,-0.0025397790595889,0.0,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
69,1,2,fou,76,0.0643077343702316,0.067055344581604,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
69,1,2,fac,216,0.579969048500061,0.6047487854957581,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
69,1,2,kar,64,0.169971227645874,0.1772333979606628,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
69,1,2,zer,47,0.135833278298378,0.1416368782520294,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
69,1,2,mor,6,0.0089435232803225,0.0093256430700421,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
89,2,3,fou,76,0.0673658996820449,0.0738696977496147,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
89,2,3,fac,216,0.5539692044258118,0.6074517965316772,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
89,2,3,kar,64,0.169668436050415,0.1860489547252655,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
89,2,3,zer,47,0.1135066151618957,0.1244650334119796,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
89,2,3,mor,6,0.0074456627480685,0.0081644989550113,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
109,3,4,fou,76,0.0571616254746913,0.0619922205805778,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
109,3,4,fac,216,0.5644571781158447,0.6121581196784973,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
109,3,4,kar,64,0.17671599984169,0.191649854183197,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
109,3,4,zer,47,0.1120611131191253,0.1215311363339424,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
109,3,4,mor,6,0.0116815343499183,0.0126687129959464,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
129,4,5,fou,76,0.0502499341964721,0.0563420504331588,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
129,4,5,fac,216,0.5511289238929749,0.6179457902908325,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
129,4,5,kar,64,0.1672729700803756,0.1875525265932083,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
129,4,5,zer,47,0.121121734380722,0.1358060836791992,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
129,4,5,mor,6,0.002099101897329,0.0023535892833024,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
169,5,6,fou,76,0.0503279194235801,0.057667963206768,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
169,5,6,fac,216,0.5481931567192078,0.6281440258026123,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
169,5,6,kar,64,0.1702373325824737,0.1950654834508896,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
169,5,6,zer,47,0.1039604693651199,0.1191225200891494,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
169,5,6,mor,6,-0.003155861981213,0.0,positive_share,shapley-20260606T030835Z-e6fc7b87,shapley,conditional
