entry_type,label,final_val_recon,final_val_pix_recon,best_val_recon,best_val_pix_recon,val_mae,val_rmse,n_test,gap_vs_digit_class_mean,relative_to_digit_class_mean_pct,gap_vs_global_mean,relative_to_global_mean_pct,run_id,final_val_kl,duration_sec
vae,pix_only,0.3037972301244735,,0.2675598859786987,,,,,-0.34112961590290075,-52.89431165785605,-0.6905694752931595,-69.44816952646468,pix_only-20260606T030722Z-ca837682,5.047452926635742,12.799490299999889
vae,shapley (marginal),0.3135047554969787,,0.2757434397935867,,,,,-0.33142209053039556,-51.38909824763725,-0.6808619499206543,-68.47191747381495,shapley-20260606T030811Z-5c3af225,5.018073320388794,13.7991938999985
vae,shapley (conditional),0.3156334012746811,,0.2801642715930938,,,,,-0.3292934447526932,-51.05903821202012,-0.678733304142952,-68.25784697385706,shapley-20260606T030835Z-e6fc7b87,5.070295095443726,13.71012559999872
vae,shapley (baseline),0.3173435479402542,,0.2823291420936584,,,,,-0.32758329808712006,-50.793869119415696,-0.6770231574773788,-68.08586347357938,shapley-20260606T030746Z-9fe096d9,4.943349599838257,13.790848599997844
vae,baseline,0.3196654319763183,,0.2853673696517944,,,,,-0.32526141405105596,-50.433846265604224,-0.6747012734413147,-67.85235967428544,baseline-20260606T030659Z-dcab2f45,4.953273057937622,12.704440599998634
baseline,pca_8,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.45959341526031494,0.518687903881073,0.6853297352790833,400.0,-0.18533343076705933,-28.737124513993756,-0.5347732901573181,-53.78028922767621,,,
baseline,digit_class_mean,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6449268460273743,0.6002006530761719,0.7914853096008301,400.0,0.0,0.0,-0.3494398593902588,-35.141950900648304,,,
baseline,global_mean,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.9943667054176331,0.8422827124595642,0.9987046122550964,400.0,0.3494398593902588,54.182867645026924,0.0,0.0,,,
