epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1471050000000104,,1024,32,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
69,69,B,1,0.0601241000003938,,1600,50,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
89,89,B,2,0.0471527999998215,,1600,50,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
109,109,B,3,0.0458355999999184,,1600,50,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
129,129,B,4,0.0557974000003014,,1600,50,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
169,169,B,5,0.0461734000000433,,1600,50,baseline,shapley-20260606T015338Z-99ab152f,shapley,baseline
49,49,B,0,0.129012600000351,,1024,32,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
69,69,B,1,0.0509867000000667,,1600,50,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
89,89,B,2,0.0443047999997361,,1600,50,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
109,109,B,3,0.0496130000010452,,1600,50,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
129,129,B,4,0.0520928999994794,,1600,50,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
169,169,B,5,0.0556465000008756,,1600,50,marginal,shapley-20260606T015403Z-94f86f48,shapley,marginal
49,49,B,0,0.1494075000009616,,1024,32,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
69,69,B,1,0.0811682000003202,,1600,50,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
89,89,B,2,0.0733053000003565,,1600,50,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
109,109,B,3,0.0810154999999213,,1600,50,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
129,129,B,4,0.0820619000005535,,1600,50,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
169,169,B,5,0.075638300000719,,1600,50,conditional,shapley-20260606T015428Z-21fd01ff,shapley,conditional
