run_id,shapley_tactic,sampling_phase,mean_variance,max_variance,mean_effective_count
shapley-20260606T024528Z-b5a00de9,baseline,1,0.08492788279909287,0.2551664113998413,32.0
shapley-20260606T024528Z-b5a00de9,baseline,2,0.0997253236455435,0.3019474744796753,80.0
shapley-20260606T024528Z-b5a00de9,baseline,3,0.14370000357303067,0.4295024871826172,119.0
shapley-20260606T024528Z-b5a00de9,baseline,4,0.2031749139205203,0.7402479648590088,138.0
shapley-20260606T024528Z-b5a00de9,baseline,5,0.2535980991524411,0.9302339553833008,151.0
shapley-20260606T024528Z-b5a00de9,baseline,6,0.31141181896964554,1.2068541049957275,163.194673538208
shapley-20260606T024553Z-69396335,marginal,1,0.16871364490361881,0.6349458694458008,32.0
shapley-20260606T024553Z-69396335,marginal,2,0.19668370048748327,0.5398526191711426,81.0
shapley-20260606T024553Z-69396335,marginal,3,0.21321107895346356,0.5640285015106201,116.0
shapley-20260606T024553Z-69396335,marginal,4,0.3150172179448418,0.923271656036377,149.0
shapley-20260606T024553Z-69396335,marginal,5,0.35472847602795804,0.9663026332855223,175.0
shapley-20260606T024553Z-69396335,marginal,6,0.4451845803996548,1.2187433242797852,193.7213761806488
shapley-20260606T024617Z-fc523473,conditional,1,0.08821979385538721,0.2714062333106994,32.0
shapley-20260606T024617Z-fc523473,conditional,2,0.09433265440020472,0.2855005264282226,78.0
shapley-20260606T024617Z-fc523473,conditional,3,0.09718045454792441,0.2767093181610107,105.0
shapley-20260606T024617Z-fc523473,conditional,4,0.10249596231005849,0.2875919342041015,125.0
shapley-20260606T024617Z-fc523473,conditional,5,0.1115754516140441,0.3006327152252197,146.0
shapley-20260606T024617Z-fc523473,conditional,6,0.11650549274054352,0.2880043983459472,168.10285997390747
