epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1302911000020685,,1024,32,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
69,69,B,1,0.0481873999997333,,1600,50,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
89,89,B,2,0.0431686000010813,,1600,50,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
109,109,B,3,0.0580546999990474,,1600,50,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
129,129,B,4,0.0578427000000374,,1600,50,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
169,169,B,5,0.0459391000003961,,1600,50,baseline,shapley-20260606T024528Z-b5a00de9,shapley,baseline
49,49,B,0,0.1268536999996286,,1024,32,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
69,69,B,1,0.0554353000006813,,1600,50,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
89,89,B,2,0.0493335999999544,,1600,50,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
109,109,B,3,0.0537121999986993,,1600,50,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
129,129,B,4,0.0466011000025901,,1600,50,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
169,169,B,5,0.0446013000000675,,1600,50,marginal,shapley-20260606T024553Z-69396335,shapley,marginal
49,49,B,0,0.1439303000006475,,1024,32,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
69,69,B,1,0.0825436999984958,,1600,50,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
89,89,B,2,0.0746472999999241,,1600,50,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
109,109,B,3,0.0738786000001709,,1600,50,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
129,129,B,4,0.0881759999974747,,1600,50,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
169,169,B,5,0.0804380999979912,,1600,50,conditional,shapley-20260606T024617Z-fc523473,shapley,conditional
