node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
26,1011,3,0.2000000029802322,-0.2692035436630249,0.0842168927192688,0.011746346950531,32.0,0.0,1.0,0.0090765552595257,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
27,11011,4,0.4000000059604645,-0.1752597689628601,0.0392235182225704,0.0085075311362743,32.0,0.0,1.0,0.0147469546645879,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
28,111,3,0.2000000029802322,-0.8646948337554932,0.8632757663726807,0.1155785918235778,32.0,0.0,1.0,0.026334561407566,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
29,10111,4,0.4000000059604645,-0.8685076236724854,0.8643900156021118,0.1100845336914062,32.0,0.0,1.0,0.050450176000595,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
30,1111,4,0.4000000059604645,-0.0678944587707519,0.0083321053534746,0.0037224479019641,32.0,0.0,1.0,0.0100932484492659,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974,32,0.0,49,0,1,shapley-20260606T023158Z-e155daa6,shapley,baseline
0,0,0,1.0,-1.3946716785430908,2.222440004348755,0.2773308753967285,256.0,32.0,0.8999999761581421,0.1834120005369186,288,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
1,10000,1,0.4000000059604645,-1.340307593345642,2.09345817565918,0.2970337867736816,128.0,32.0,0.75,0.076512224972248,96,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
2,1000,1,0.4000000059604645,-0.4316606521606445,0.2263742536306381,0.0400433391332626,160.0,32.0,0.800000011920929,0.0287255048751831,128,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
3,11000,2,0.2000000029802322,-0.3774800598621368,0.1685863435268402,0.0260951519012451,32.0,0.0,1.0,0.0121908811852335,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
4,100,1,0.4000000059604645,-1.243450164794922,1.7502756118774414,0.2041072845458984,96.0,32.0,0.6666666865348816,0.0635955706238746,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
5,10100,2,0.2000000029802322,-1.0567092895507812,1.3365046977996826,0.2198702096939087,64.0,32.0,0.5,0.0334838517010211,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
6,1100,2,0.2000000029802322,-0.2740408182144165,0.1004984080791473,0.0254000350832939,64.0,32.0,0.5,0.0120408236980438,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
7,11100,3,0.2000000029802322,-0.1823776066303253,0.0461310744285583,0.0128694847226142,96.0,32.0,0.6666666865348816,0.0088589582592248,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
8,10,1,0.4000000059604645,-1.286667823791504,1.8845269680023196,0.2290128469467163,160.0,32.0,0.800000011920929,0.0673046931624412,128,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
9,10010,2,0.2000000029802322,-1.2460895776748655,1.766010880470276,0.2132716178894043,160.0,32.0,0.800000011920929,0.0329926945269107,128,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
10,1010,2,0.2000000029802322,-0.2907736301422119,0.1120467185974121,0.0274974182248115,64.0,32.0,0.5,0.0124876266345381,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
11,11010,3,0.2000000029802322,-0.2369351536035537,0.079347938299179,0.0232096724212169,32.0,0.0,1.0,0.0115540428087115,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
12,110,2,0.2000000029802322,-1.033306121826172,1.2548730373382568,0.187151551246643,64.0,32.0,0.5,0.0309696067124605,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
13,10110,3,0.2000000029802322,-0.8976367712020874,0.94930100440979,0.1435492038726806,96.0,32.0,0.6666666865348816,0.0272473059594631,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
14,1110,3,0.2000000029802322,-0.13791523873806,0.0338265411555767,0.0148059278726577,64.0,32.0,0.5,0.0094295069575309,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
15,11110,4,0.4000000059604645,-0.0500577613711357,0.0104013010859489,0.0078955218195915,64.0,32.0,0.5,0.0133113237097859,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
16,1,1,0.4000000059604645,-1.2661314010620115,1.8175253868103027,0.214436650276184,32.0,0.0,1.0,0.0651599317789077,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
17,10001,2,0.2000000029802322,-1.1544814109802246,1.5347615480422974,0.2019342184066772,64.0,32.0,0.5,0.032130729407072,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
18,1001,2,0.2000000029802322,-0.3940706253051758,0.1838210374116897,0.0285293757915496,64.0,32.0,0.5,0.0127012021839618,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
19,11001,3,0.2000000029802322,-0.3082959949970245,0.110016256570816,0.0149698331952095,32.0,0.0,1.0,0.0094760358333587,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
20,101,2,0.2000000029802322,-0.9614938497543336,1.04828941822052,0.1238189935684204,96.0,32.0,0.6666666865348816,0.0253768730908632,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
21,10101,3,0.2000000029802322,-0.9420915842056274,1.0974938869476318,0.2099573612213134,96.0,32.0,0.6666666865348816,0.0327431410551071,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
22,1101,3,0.2000000029802322,-0.1778624206781387,0.0422385148704052,0.0106034725904464,32.0,0.0,1.0,0.0081335939466953,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
23,11101,4,0.4000000059604645,-0.1019733697175979,0.0173503533005714,0.0069517847150564,64.0,32.0,0.5,0.0125521412119269,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
24,11,2,0.2000000029802322,-1.087409734725952,1.3699262142181396,0.1874662637710571,64.0,32.0,0.5,0.0309947952628135,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
25,10011,3,0.2000000029802322,-1.0870261192321775,1.4399423599243164,0.2583165168762207,96.0,32.0,0.6666666865348816,0.0362095460295677,64,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
26,1011,3,0.2000000029802322,-0.2692035436630249,0.0842168927192688,0.011746346950531,32.0,0.0,1.0,0.0085081988945603,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
27,11011,4,0.4000000059604645,-0.1861852407455444,0.0427200198173522,0.0080550760030746,128.0,32.0,0.75,0.0134350964799523,96,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
28,111,3,0.2000000029802322,-0.8646948337554932,0.8632757663726807,0.1155785918235778,32.0,0.0,1.0,0.0245517399162054,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
29,10111,4,0.4000000059604645,-0.8799704313278198,0.9176918268203736,0.1433438658714294,64.0,32.0,0.5,0.0534570515155792,32,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
30,1111,4,0.4000000059604645,-0.0678944587707519,0.0083321053534746,0.0037224479019641,32.0,0.0,1.0,0.0094533460214734,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974,0,0.0,69,1,2,shapley-20260606T023158Z-e155daa6,shapley,baseline
0,0,0,1.0,-1.5159114599227903,2.7624690532684326,0.4644815921783447,256.0,256.0,0.4666666686534881,0.1943342387676239,224,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
1,10000,1,0.4000000059604645,-1.3672455549240112,2.243968963623047,0.3746085166931152,192.0,128.0,0.3333333432674408,0.0704501643776893,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
2,1000,1,0.4000000059604645,-0.4317549765110016,0.2267457544803619,0.0403333902359008,192.0,160.0,0.1666666716337204,0.023788558319211,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
3,11000,2,0.2000000029802322,-0.3774800598621368,0.1685863435268402,0.0260951519012451,32.0,0.0,1.0,0.0101650413125753,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
4,100,1,0.4000000059604645,-1.321399450302124,2.151484251022339,0.4053877592086792,224.0,96.0,0.5714285969734192,0.0732470005750656,128,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
5,10100,2,0.2000000029802322,-1.103750705718994,1.4940307140350342,0.275765061378479,128.0,64.0,0.5,0.0307936780154705,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
6,1100,2,0.2000000029802322,-0.2740408182144165,0.1004984080791473,0.0254000350832939,64.0,32.0,0.5,0.0100421477109193,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
7,11100,3,0.2000000029802322,-0.1823776066303253,0.0461310744285583,0.0128694847226142,96.0,32.0,0.6666666865348816,0.0074362829327583,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
8,10,1,0.4000000059604645,-1.3127427101135254,2.050581932067871,0.3272885084152221,256.0,160.0,0.375,0.0659157186746597,96,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
9,10010,2,0.2000000029802322,-1.2616620063781738,1.86008095741272,0.2682899236679077,224.0,160.0,0.2857142984867096,0.0303870979696512,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
10,1010,2,0.2000000029802322,-0.2940161228179931,0.1145666688680648,0.0281211882829666,96.0,64.0,0.3333333432674408,0.0105141792446374,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
11,11010,3,0.2000000029802322,-0.2369351536035537,0.079347938299179,0.0232096724212169,32.0,0.0,1.0,0.009643486700952,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
12,110,2,0.2000000029802322,-1.060933232307434,1.3602169752120972,0.2346376180648803,96.0,64.0,0.3333333432674408,0.0284823160618543,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
13,10110,3,0.2000000029802322,-0.9030370712280272,0.9881794452667236,0.1727035045623779,128.0,96.0,0.25,0.024577897042036,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
14,1110,3,0.2000000029802322,-0.1409496963024139,0.0374415591359138,0.0175747424364089,128.0,64.0,0.5,0.0085214050486683,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
15,11110,4,0.4000000059604645,-0.0500577613711357,0.0104013010859489,0.0078955218195915,64.0,32.0,0.5,0.0110826548188924,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
16,1,1,0.4000000059604645,-1.441667079925537,2.648214817047119,0.5698108673095703,192.0,32.0,0.8333333134651184,0.0866544395685195,160,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
17,10001,2,0.2000000029802322,-1.292353630065918,2.1313729286193848,0.4611949920654297,128.0,64.0,0.5,0.039529800415039,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
18,1001,2,0.2000000029802322,-0.3707067370414734,0.1725154221057891,0.0350919365882873,128.0,64.0,0.5,0.0116281621158123,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
19,11001,3,0.2000000029802322,-0.3082959949970245,0.110016256570816,0.0149698331952095,32.0,0.0,1.0,0.0079416539520025,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
20,101,2,0.2000000029802322,-1.0653560161590576,1.380678653717041,0.2456952333450317,128.0,96.0,0.25,0.029122432693839,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
21,10101,3,0.2000000029802322,-1.0229467153549194,1.386246919631958,0.3398269414901733,256.0,96.0,0.625,0.0340737476944923,160,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
