run_id,shapley_tactic,sampling_phase,mean_variance,max_variance,mean_effective_count
shapley-20260606T024314Z-b16dec20,baseline,1,0.1096850665780948,0.4207204580307007,32.0
shapley-20260606T024314Z-b16dec20,baseline,2,0.1143840404838556,0.3110032081604004,82.0
shapley-20260606T024314Z-b16dec20,baseline,3,0.14471734883409224,0.4888887405395508,117.0
shapley-20260606T024314Z-b16dec20,baseline,4,0.24578132006718076,1.2811706066131592,137.0
shapley-20260606T024314Z-b16dec20,baseline,5,0.2938940279200324,1.2781634330749512,147.0
shapley-20260606T024314Z-b16dec20,baseline,6,0.37542682706407504,1.5685133934020996,156.38897895812988
shapley-20260606T024338Z-8cde1b53,marginal,1,0.15719156450359145,0.4690905809402466,32.0
shapley-20260606T024338Z-8cde1b53,marginal,2,0.21470505901379508,0.8510904312133789,82.0
shapley-20260606T024338Z-8cde1b53,marginal,3,0.24152880610199642,0.7096810340881348,124.0
shapley-20260606T024338Z-8cde1b53,marginal,4,0.27949741610791534,0.6761598587036133,155.0
shapley-20260606T024338Z-8cde1b53,marginal,5,0.3008359575178474,0.7172167301177979,180.0
shapley-20260606T024338Z-8cde1b53,marginal,6,0.36109561647754157,0.905492067337036,194.3121304512024
shapley-20260606T024402Z-40701656,conditional,1,0.10464257007697593,0.3807474374771118,32.0
shapley-20260606T024402Z-40701656,conditional,2,0.0927716612932272,0.2971323728561401,76.0
shapley-20260606T024402Z-40701656,conditional,3,0.0914560708115459,0.2628151774406433,109.0
shapley-20260606T024402Z-40701656,conditional,4,0.09706402732263081,0.3009935617446899,135.0
shapley-20260606T024402Z-40701656,conditional,5,0.10020804387022504,0.2694905996322632,158.0
shapley-20260606T024402Z-40701656,conditional,6,0.1061482773211537,0.2931270003318786,172.52787172794342
