epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.1447377000004053,,1024,32,conditional
69,69,B,1,0.08407839999927091,,1600,50,conditional
89,89,B,2,0.08329850000154693,,1600,50,conditional
109,109,B,3,0.07193220000044676,,1600,50,conditional
129,129,B,4,0.07419379999919329,,1600,50,conditional
169,169,B,5,0.0814286999993783,,1600,50,conditional
