loss,recon,kl,val_loss,val_recon,val_kl,beta,lr,epoch_duration_sec,elapsed_train_sec,epoch
1.0024365186691284,1.0024365186691284,0.01005555223673582,0.9978575110435486,0.9978575110435486,0.42598921060562134,0.0,0.001,0.23220940004102886,0.23220940004102886,0
1.000895619392395,1.0008814334869385,0.42454230785369873,0.995440661907196,0.9953904151916504,1.5075106620788574,3.334444814938313e-05,0.001,0.039644100004807115,0.27185350004583597,1
0.9982447028160095,0.998142659664154,1.5302709341049194,0.978171706199646,0.9778788685798645,4.390985012054443,6.668889629876625e-05,0.001,0.04054300003917888,0.31239650008501485,2
0.9812324047088623,0.9807831048965454,4.491433620452881,0.9152177572250366,0.9139413237571716,12.760233879089355,0.00010003334444814939,0.001,0.03718390001449734,0.3495804000995122,3
0.9186893105506897,0.9169504642486572,13.036998748779297,0.9236992597579956,0.9184942841529846,39.024288177490234,0.0001333777925975325,0.001,0.03743440000107512,0.3870148001005873,4
0.9271928071975708,0.9205726981163025,39.70743942260742,0.841401994228363,0.8367508053779602,27.897932052612305,0.00016672224074691566,0.001,0.03586999996332452,0.4228848000639118,5
0.8429237008094788,0.8370792865753174,29.212223052978516,0.829329252243042,0.8257073163986206,18.103736877441406,0.00020006668889629878,0.001,0.036157900001853704,0.45904270006576553,6
0.8298249840736389,0.8254225850105286,18.861019134521484,0.8143043518066406,0.8103289604187012,17.031679153442383,0.00023341113704568192,0.001,0.03475440002512187,0.4937971000908874,7
0.8153802752494812,0.810637354850769,17.779945373535156,0.7794309258460999,0.7739949226379395,20.378276824951172,0.000266755585195065,0.001,0.03534790000412613,0.5291450000950135,8
0.7796527147293091,0.7732082009315491,21.47463607788086,0.7842822074890137,0.7768316268920898,24.82698631286621,0.00030010003334444816,0.001,0.03701059997547418,0.5661556000704877,9
0.7876414060592651,0.7788498401641846,26.365829467773438,0.749095618724823,0.7423247694969177,20.305742263793945,0.0003334444814938313,0.001,0.0357794999727048,0.6019351000431925,10
0.7466052174568176,0.7388477921485901,21.14948844909668,0.7400375604629517,0.733705997467041,17.262155532836914,0.00036678892964321446,0.001,0.032708600047044456,0.634643700090237,11
0.7389718294143677,0.7319053411483765,17.66033935546875,0.7313936948776245,0.7255779504776001,14.534469604492188,0.00040013337779259755,0.001,0.033104099973570555,0.6677478000638075,12
0.7298845648765564,0.7234106659889221,14.934840202331543,0.727256715297699,0.721261739730835,13.82992935180664,0.0004334778259419807,0.001,0.033516300027258694,0.7012641000910662,13
0.7254306674003601,0.7187744379043579,14.258641242980957,0.7107807397842407,0.7040830850601196,14.347393035888672,0.00046682227409136385,0.001,0.03275380004197359,0.7340179001330398,14
0.7092345356941223,0.7019014954566956,14.661171913146973,0.7038320302963257,0.6959723830223083,15.714111328125,0.0005001667222407469,0.001,0.031627100019250065,0.7656450001522899,15
0.7027086615562439,0.6942335367202759,15.885517120361328,0.6996732950210571,0.6908646821975708,16.510679244995117,0.00053351117039013,0.001,0.03136080002877861,0.7970058001810685,16
0.698661208152771,0.6891748309135437,16.735095977783203,0.6925564408302307,0.683447539806366,16.069194793701172,0.0005668556185395131,0.001,0.03137459995923564,0.8283804001403041,17
0.6909658908843994,0.6811608672142029,16.336246490478516,0.6783267259597778,0.6694490909576416,14.791156768798828,0.0006002000666888963,0.001,0.032339599973056465,0.8607200001133606,18
0.676446795463562,0.6669812202453613,14.940632820129395,0.6740854978561401,0.6652510166168213,13.94456672668457,0.0006335445148382794,0.001,0.031403300003148615,0.8921233001165092,19
0.672461986541748,0.663086473941803,14.058600425720215,0.6688041687011719,0.6596622467041016,13.708344459533691,0.0006668889629876626,0.001,0.03135230002226308,0.9234756001387723,20
0.6670520305633545,0.657341718673706,13.867231369018555,0.6607041954994202,0.65082186460495,14.11290454864502,0.0007002334111370457,0.001,0.031138400023337454,0.9546140001621097,21
0.6590701341629028,0.6486249566078186,14.238696098327637,0.6521453857421875,0.6411815881729126,14.945662498474121,0.0007335778592864289,0.001,0.031001699971966445,0.9856157001340762,22
0.6493700742721558,0.6378533244132996,15.016816139221191,0.647710919380188,0.6360114812850952,15.255023002624512,0.000766922307435812,0.001,0.03143110004020855,1.0170468001742847,23
0.6441215872764587,0.6318198442459106,15.37205982208252,0.6398955583572388,0.6280615925788879,14.7875337600708,0.0008002667555851951,0.001,0.03210370003944263,1.0491505002137274,24
0.6363387703895569,0.6238698959350586,14.95762825012207,0.6276792287826538,0.6157336831092834,14.329874992370605,0.0008336112037345783,0.001,0.032706999976653606,1.081857500190381,25
0.6240101456642151,0.6114094257354736,14.534452438354492,0.6196898818016052,0.6072804927825928,14.313756942749023,0.0008669556518839614,0.001,0.0340740000247024,1.1159315002150834,26
0.6157771348953247,0.6026477217674255,14.583405494689941,0.6113717555999756,0.5984112620353699,14.39577579498291,0.0009003001000333446,0.001,0.0325594000169076,1.148490900231991,27
0.6071781516075134,0.5934563875198364,14.69698715209961,0.6009092330932617,0.5871317386627197,14.756674766540527,0.0009336445481827277,0.001,0.03285060002235696,1.181341500254348,28
0.5956384539604187,0.5810607671737671,15.07536506652832,0.5951254367828369,0.5807351469993591,14.881518363952637,0.0009669889963321108,0.001,0.03265609999652952,1.2139976002508774,29
0.5897699594497681,0.574607253074646,15.15767765045166,0.5885796546936035,0.5739992260932922,14.575575828552246,0.0010003334444814939,0.001,0.032529400021303445,1.2465270002721809,30
0.5828214287757874,0.5674085021018982,14.910785675048828,0.5823147296905518,0.5676517486572266,14.18526554107666,0.001033677892630877,0.001,0.032923299993854016,1.279450300266035,31
0.5764437317848206,0.561011552810669,14.462841033935547,0.5749731063842773,0.5603474378585815,13.707014083862305,0.00106702234078026,0.001,0.0336012999759987,1.3130516002420336,32
0.5689096450805664,0.5534478425979614,14.051515579223633,0.5708661675453186,0.5564656257629395,13.087061882019043,0.0011003667889296432,0.001,0.03187850001268089,1.3449301002547145,33
0.5639423727989197,0.548772931098938,13.380321502685547,0.5644421577453613,0.5496457815170288,13.051264762878418,0.0011337112370790263,0.001,0.03352019999874756,1.378450300253462,34
0.5575053691864014,0.5419445037841797,13.333419799804688,0.5552235841751099,0.5402165651321411,12.858853340148926,0.0011670556852284096,0.001,0.03205999999772757,1.4105103002511896,35
0.5481080412864685,0.5323117971420288,13.159128189086914,0.549859344959259,0.5342836380004883,12.975441932678223,0.0012004001333777927,0.001,0.03207499999552965,1.4425853002467193,36
0.5425012707710266,0.5261300802230835,13.269523620605469,0.5464121699333191,0.5301049947738647,13.217607498168945,0.0012337445815271757,0.001,0.03125469997758046,1.4738400002242997,37
0.5383501648902893,0.5211922526359558,13.54122257232666,0.5409718751907349,0.5241860151290894,13.247591018676758,0.0012670890296765588,0.001,0.031357300002127886,1.5051973002264276,38
0.5318118929862976,0.514194667339325,13.547184944152832,0.5380899906158447,0.5207103490829468,13.36447811126709,0.0013004334778259422,0.001,0.031871500017587095,1.5370688002440147,39
0.5281023383140564,0.5099172592163086,13.634279251098633,0.5351106524467468,0.5176891088485718,13.061795234680176,0.0013337779259753252,0.001,0.03533729998162016,1.5724061002256349,40
0.5248192548751831,0.5065112113952637,13.391666412353516,0.5299886465072632,0.5126983523368835,12.647223472595215,0.0013671223741247083,0.001,0.03327730001183227,1.6056834002374671,41
0.5195142030715942,0.5013622641563416,12.96134090423584,0.5238884687423706,0.5063294172286987,12.537985801696777,0.0014004668222740914,0.001,0.03177860000869259,1.6374620002461597,42
0.5127944946289062,0.49431416392326355,12.888935089111328,0.5220112800598145,0.503705620765686,12.767138481140137,0.0014338112704234745,0.001,0.03125469997758046,1.6687167002237402,43
0.509688675403595,0.4903978705406189,13.148448944091797,0.5200104117393494,0.5014291405677795,12.664843559265137,0.0014671557185728578,0.001,0.033015499997418374,1.7017322002211586,44
0.5065836906433105,0.4870508015155792,13.017565727233887,0.5169022083282471,0.49868667125701904,12.139633178710938,0.001500500166722241,0.001,0.03216359997168183,1.7338958001928404,45
0.5031022429466248,0.48386794328689575,12.539915084838867,0.5120330452919006,0.4935261011123657,12.065723419189453,0.001533844614871624,0.001,0.03218820004258305,1.7660840002354234,46
0.4972643554210663,0.4777371287345886,12.460026741027832,0.508689284324646,0.48996853828430176,11.945416450500488,0.001567189063021007,0.001,0.0322174999746494,1.7983015002100728,47
0.4934670627117157,0.47373640537261963,12.327553749084473,0.5067870616912842,0.48790034651756287,11.800244331359863,0.0016005335111703902,0.001,0.032071800029370934,1.8303733002394438,48
0.4915522336959839,0.4716019034385681,12.21041488647461,0.504306972026825,0.4847134053707123,11.99205493927002,0.0016338779593197733,0.001,0.030795700033195317,1.861169000272639,49
0.4883078336715698,0.46765244007110596,12.389113426208496,0.49969482421875,0.47952979803085327,12.094976425170898,0.0016672224074691566,0.001,0.03098470001714304,1.8921537002897821,50
0.4832001328468323,0.4619189500808716,12.51417064666748,0.49837976694107056,0.4778795838356018,12.054910659790039,0.0017005668556185395,0.001,0.03095960000064224,1.9231133002904244,51
0.48061272501945496,0.45895901322364807,12.488361358642578,0.4970143735408783,0.4763230085372925,11.93333911895752,0.0017339113037679228,0.001,0.03122479998273775,1.9543381002731621,52
0.47922566533088684,0.45742884278297424,12.333707809448242,0.49465319514274597,0.4737682044506073,11.817753791809082,0.0017672557519173059,0.001,0.03290330001618713,1.9872414002893493,53
0.47562646865844727,0.45361530780792236,12.224347114562988,0.49171411991119385,0.47012874484062195,11.987885475158691,0.0018006002000666892,0.001,0.03348330000881106,2.0207247002981603,54
0.47190892696380615,0.4491990804672241,12.383052825927734,0.49008360505104065,0.46813535690307617,11.967780113220215,0.001833944648216072,0.001,0.032578399986959994,2.0533031002851203,55
0.47056448459625244,0.44747665524482727,12.364350318908691,0.488140732049942,0.4662775695323944,11.708498001098633,0.0018672890963654554,0.001,0.031785600003786385,2.0850887002889067,56
0.4677724838256836,0.4447748064994812,12.09999942779541,0.48565274477005005,0.4636228680610657,11.590812683105469,0.0019006335445148383,0.001,0.03179859998635948,2.116887300275266,57
0.4651065468788147,0.4419751763343811,11.960519790649414,0.4840242862701416,0.4615791440010071,11.605692863464355,0.0019339779926642216,0.001,0.03217040002346039,2.1490577002987266,58
0.4628371596336365,0.4392651319503784,11.98177719116211,0.4833154082298279,0.46074140071868896,11.47448444366455,0.0019673224408136044,0.001,0.031932100013364106,2.1809898003120907,59
0.461398720741272,0.4376683831214905,11.861211776733398,0.4814261198043823,0.45873767137527466,11.340445518493652,0.0020006668889629878,0.001,0.035780200036242604,2.2167700003483333,60
0.4599170684814453,0.43603959679603577,11.739107131958008,0.4803597033023834,0.4568950831890106,11.536134719848633,0.002034011337112371,0.001,0.03530669998144731,2.2520767003297806,61
0.4586552381515503,0.4339894652366638,11.931076049804688,0.4813418686389923,0.45758873224258423,11.489624977111816,0.002067355785261754,0.001,0.0354442999814637,2.2875210003112443,62
0.4584067761898041,0.4334278702735901,11.890753746032715,0.47823241353034973,0.4545745551586151,11.261897087097168,0.0021007002334111373,0.001,0.03558770002564415,2.3231087003368884,63
0.45643848180770874,0.4315999746322632,11.639162063598633,0.4748902916908264,0.4512624442577362,11.071866035461426,0.00213404468156052,0.001,0.035288300015963614,2.358397000352852,64
0.45227357745170593,0.4274105727672577,11.471410751342773,0.4726290702819824,0.44795894622802734,11.382417678833008,0.0021673891297099034,0.001,0.03493500000331551,2.3933320003561676,65
0.44878891110420227,0.42287397384643555,11.775590896606445,0.4724026918411255,0.4470515251159668,11.519413948059082,0.0022007335778592863,0.001,0.0345134999952279,2.4278455003513955,66
0.44899266958236694,0.4223676919937134,11.91766357421875,0.47232937812805176,0.4472648799419403,11.219169616699219,0.0022340780260086696,0.001,0.035296899965032935,2.4631424003164284,67
0.44880959391593933,0.42245757579803467,11.622018814086914,0.4691498875617981,0.44383054971694946,11.16657829284668,0.0022674224741580525,0.001,0.03549129999009892,2.4986337003065273,68
0.44613972306251526,0.41952475905418396,11.567863464355469,0.467864066362381,0.441912978887558,11.279316902160645,0.002300766922307436,0.001,0.03735320002306253,2.53598690032959,69
