hook,seconds,calls
KLBetaSchedulerCallback.on_train_begin,1.8900002032751217e-05,1
KLBetaSchedulerCallback.on_epoch_begin,0.00029459997676895,200
KLBetaSchedulerCallback.on_batch_begin,0.0024188998722820543,1400
KLBetaSchedulerCallback.on_batch_end,0.003304599958937615,1400
KLBetaSchedulerCallback.on_epoch_end,0.0027361999564163852,200
KLBetaSchedulerCallback.on_train_end,1.6000012692529708e-06,1
