epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1240857000011601,,1024,32,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
69,69,B,1,0.0691360999990138,,1600,50,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
89,89,B,2,0.0531068000018422,,1600,50,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
109,109,B,3,0.0559400999991339,,1600,50,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
129,129,B,4,0.0440299000001687,,1600,50,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
169,169,B,5,0.0383984000000054,,1600,50,baseline,shapley-20260606T022038Z-fbbea9f0,shapley,baseline
49,49,B,0,0.1316790999990189,,1024,32,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
69,69,B,1,0.0549299999984214,,1600,50,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
89,89,B,2,0.0478307000012137,,1600,50,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
109,109,B,3,0.0522391999984392,,1600,50,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
129,129,B,4,0.0475581999999121,,1600,50,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
169,169,B,5,0.0523049999974318,,1600,50,marginal,shapley-20260606T022102Z-d00330e9,shapley,marginal
49,49,B,0,0.148580299999594,,1024,32,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
69,69,B,1,0.0780965999983891,,1600,50,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
89,89,B,2,0.0746070999994117,,1600,50,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
109,109,B,3,0.0748340999998617,,1600,50,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
129,129,B,4,0.0767216999993252,,1600,50,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
169,169,B,5,0.0742789000032644,,1600,50,conditional,shapley-20260606T022126Z-8a3e9600,shapley,conditional
