loss,recon,recon_base,pix_recon,aux_recon_base,kl,val_loss,val_recon,val_recon_base,val_pix_recon,val_aux_recon_base,val_kl,beta,aux_loss_weight,lr,logical_epoch,epoch_duration_sec,elapsed_train_sec,kl_target,kl_target_final,next_beta,kl_controller_advanced,epoch
1.7314973218100411,1.7314973218100411,1.7314973047801427,0.9643253087997437,0.958964969430651,5.979062352861677,1.492828369140625,1.492828369140625,1.492828369140625,0.8364494144916534,0.8204736411571503,21.786995887756348,0.0,0.8,0.001,0,0.2830515000023297,0.2830515000023297,50.0,5.0,0.0,True,0
1.3425303186689104,1.3425303186689104,1.342530301639012,0.7450135861124311,0.7468959178243365,32.193398884364534,1.1740593910217285,1.1740593910217285,1.1740593910217285,0.6483705043792725,0.6571111083030701,43.329763412475586,0.0,0.8,0.001,1,0.07295259999955306,0.35600410000188276,50.0,5.0,0.0,True,1
1.1131846053259713,1.1131846053259713,1.1131846053259713,0.6159521426473346,0.6215405889919826,43.50962339128767,1.0329893827438354,1.0329893827438354,1.0329894423484802,0.5686028301715851,0.5804832279682159,46.88886833190918,0.0,0.8,0.001,2,0.07054650000281981,0.4265506000047026,50.0,5.0,0.0,True,2
0.9827339819499424,0.9827339819499424,0.9827339734349932,0.5370266139507294,0.5571341855185372,51.55807767595564,0.9244508743286133,0.9244508743286133,0.9244508445262909,0.5047099590301514,0.5246760845184326,55.909461975097656,0.0,0.8,0.001,3,0.06388999999762746,0.49044060000233003,50.0,5.0,0.0,True,3
0.8813538721629551,0.8813538721629551,0.8813538551330566,0.4800309453691755,0.5016536286899022,59.48093032836914,0.8432473838329315,0.8432473838329315,0.8432473838329315,0.45746125280857086,0.4822326749563217,61.05789375305176,0.0,0.8,0.001,4,0.06203349999850616,0.5524741000008362,50.0,5.0,0.0,True,4
0.7966468930244446,0.7966468930244446,0.7966468759945461,0.4309984062399183,0.45706058400017874,64.46120779854911,0.7860143780708313,0.7860143780708313,0.7860143482685089,0.42306455969810486,0.45368723571300507,64.4956283569336,0.0,0.8,0.001,5,0.06382079999821144,0.6162948999990476,50.0,5.0,0.0,True,5
0.7586631093706403,0.7586631093706403,0.7586631093706403,0.40772412930216106,0.43867373040744234,66.50547136579242,0.7441772222518921,0.7441772222518921,0.7441771924495697,0.39910414814949036,0.4313412755727768,66.97056579589844,0.0,0.8,0.001,6,0.059858900000108406,0.676153799999156,50.0,5.0,0.0,True,6
0.7131538135664803,0.7131538135664803,0.7131538050515311,0.3803054222038814,0.4160604647227696,68.7424785069057,0.7125571370124817,0.7125571370124817,0.7125571370124817,0.3789854049682617,0.41696465015411377,68.85151290893555,0.0,0.8,0.001,7,0.059733799997047754,0.7358875999962038,50.0,5.0,0.0,True,7
0.6795212200709752,0.6795212200709752,0.6795212200709752,0.36004583324704853,0.3993442101137979,71.15203857421875,0.6859922707080841,0.6859922707080841,0.6859922707080841,0.36243005096912384,0.40445275604724884,70.60352325439453,0.0,0.8,0.001,8,0.06136609999884968,0.7972536999950535,50.0,5.0,0.0,True,8
0.6483209388596671,0.6483209388596671,0.6483209218297686,0.3395894169807434,0.38591439809118,73.87989698137555,0.6626188457012177,0.6626188457012177,0.6626188158988953,0.3482365608215332,0.3929778039455414,73.3651123046875,0.0,0.8,0.001,9,0.05938439999954426,0.8566380999945977,50.0,5.0,0.0,True,9
0.6247694322041103,0.6247694322041103,0.6247694407190595,0.3254971333912441,0.3740903777735574,77.26920427594867,0.6453268527984619,0.6453268527984619,0.6453268527984619,0.338318333029747,0.38376064598560333,76.7451057434082,0.0,0.8,0.001,10,0.06290230000013253,0.9195403999947303,50.0,5.0,0.001,True,10
0.6749339273997715,0.6075849277632577,0.6075849192483085,0.3155077397823334,0.36509646262441364,67.34899575369698,0.6793736815452576,0.6306827664375305,0.6306827664375305,0.3290311247110367,0.3770645707845688,48.69091796875,0.001,0.8,0.001,11,0.0614759000018239,0.9810162999965542,46.186440677966104,5.0,0.002,True,11
0.6779348424502781,0.6063762392316546,0.6063762392316546,0.31473963601248606,0.3645457455090114,35.7793025970459,0.6771433651447296,0.6276751756668091,0.6276752054691315,0.32763251662254333,0.375053346157074,24.734082221984863,0.002,0.8,0.001,12,0.058061600000655744,1.03907789999721,42.91338582677166,5.0,0.001,True,12
0.6290788905961173,0.6000249470983233,0.600024938583374,0.3113296627998352,0.3608690968581608,29.053939274379186,0.6518343687057495,0.6170461177825928,0.6170461177825928,0.32086198031902313,0.37023015320301056,34.78824806213379,0.001,0.8,0.001,13,0.06147239999700105,1.100550299994211,40.0735294117647,5.0,0.0,True,13
0.5700725061552865,0.5700725061552865,0.5700724976403373,0.2930703801768167,0.3462526372500828,41.78928974696568,0.6054288446903229,0.6054288446903229,0.6054288446903229,0.313881978392601,0.36443357169628143,47.5710506439209,0.0,0.8,0.001,14,0.0587481000002299,1.1592983999944408,37.58620689655172,5.0,0.001,True,14
0.6045417359897068,0.5566685710634504,0.5566685710634504,0.285115693296705,0.3394410950796945,47.87316077096121,0.639730304479599,0.5959398150444031,0.5959398448467255,0.30838246643543243,0.3594467043876648,43.79049873352051,0.001,0.8,0.001,15,0.05925800000113668,1.2185563999955775,35.3896103896104,5.0,0.002,True,15
0.6295746479715619,0.5557004979678563,0.5557004979678563,0.284346661397389,0.3391922840050289,36.93707438877651,0.6478737890720367,0.5933703184127808,0.5933703184127808,0.30627448856830597,0.3588697761297226,27.25173282623291,0.002,0.8,0.001,16,0.058310500000516186,1.2768668999960937,33.435582822085884,5.0,0.001,True,16
0.5821935960224697,0.5554955516542707,0.55549556016922,0.2853065686566489,0.33773623619760784,26.698054994855607,0.6143278181552887,0.5873916149139404,0.5873916149139404,0.3028356283903122,0.3556949645280838,26.93620204925537,0.001,0.8,0.001,17,0.062101899999106536,1.3389687999952002,31.68604651162791,5.0,0.0,True,17
0.5454224603516715,0.5454224603516715,0.5454224603516715,0.2789932702268873,0.3330364738191877,32.693904059273855,0.5834213197231293,0.5834213197231293,0.5834212899208069,0.3005385845899582,0.3536033630371094,38.672664642333984,0.0,0.8,0.001,18,0.06334630000128527,1.4023150999964855,30.11049723756906,5.0,0.001,True,18
0.5701158131871905,0.5290547098432269,0.5290547183581761,0.2685009666851589,0.3256921810763223,41.06110382080078,0.6138119995594025,0.574766218662262,0.574766218662262,0.29542940855026245,0.3491709679365158,39.045766830444336,0.001,0.8,0.001,19,0.05959100000109174,1.4619060999975773,28.684210526315788,5.0,0.002,True,19
0.5877911363329206,0.5186352814946856,0.5186352900096348,0.26373249505247387,0.31862848145621164,34.577928815569194,0.6272197663784027,0.5725333392620087,0.572533369064331,0.29444150626659393,0.3476147949695587,27.343212127685547,0.002,0.8,0.001,20,0.05844280000019353,1.5203488999977708,27.386934673366838,5.0,0.0015627745431870893,True,20
0.5695559297289167,0.5283488120351519,0.5283488035202026,0.2691802382469177,0.32396070446286884,26.36791910443987,0.6101387739181519,0.5703171789646149,0.5703172087669373,0.293050080537796,0.34658390283584595,25.481328010559082,0.0015627745431870893,0.8,0.001,21,0.0582615999992413,1.578610499997012,26.20192307692308,5.0,0.0005627745431870893,True,21
0.5361958997590202,0.5198385289737156,0.5198385204587664,0.2647459932735988,0.31886565685272217,29.06558745247977,0.5888211727142334,0.5701804161071777,0.5701803863048553,0.2925281673669815,0.347065269947052,33.122941970825195,0.0005627745431870893,0.8,0.001,22,0.06157149999853573,1.6401819999955478,25.115207373271886,5.0,0.0015627745431870893,True,22
0.5607746839523315,0.5079194818224225,0.507919464792524,0.257490730711392,0.3130359096186502,33.82138279506138,0.6149383783340454,0.5659079551696777,0.5659079849720001,0.2910378873348236,0.34358760714530945,31.37396240234375,0.0015627745431870893,0.8,0.001,23,0.06056180000086897,1.7007437999964168,24.115044247787612,5.0,0.0025627745431870894,True,23
0.5809213093348912,0.5086708196571895,0.5086708196571895,0.25828392803668976,0.3129836193152836,28.192291804722377,0.6219344437122345,0.5620381236076355,0.5620381236076355,0.28837357461452484,0.34208066761493683,23.37166690826416,0.0025627745431870894,0.8,0.001,24,0.06242900000142981,1.7631727999978466,23.191489361702125,5.0,0.0035627745431870894,True,24
