epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.13973219999752473,,1024,32,baseline
69,69,B,1,0.05228490000081365,,1600,50,baseline
89,89,B,2,0.041570299999875715,,1600,50,baseline
109,109,B,3,0.042573900002025766,,1600,50,baseline
129,129,B,4,0.04461520000040764,,1600,50,baseline
169,169,B,5,0.04479929999797605,,1600,50,baseline
