epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.133030899996811,,1024,32,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
69,69,B,1,0.0582815000016125,,1600,50,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
89,89,B,2,0.0483187999998335,,1600,50,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
109,109,B,3,0.0421765999999479,,1600,50,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
129,129,B,4,0.0412824999984877,,1600,50,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
169,169,B,5,0.0501389999990351,,1600,50,baseline,shapley-20260606T021133Z-b813eaaf,shapley,baseline
49,49,B,0,0.1309287000003678,,1024,32,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
69,69,B,1,0.0463732999996864,,1600,50,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
89,89,B,2,0.0491278000008605,,1600,50,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
109,109,B,3,0.046184800001356,,1600,50,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
129,129,B,4,0.0567200999976194,,1600,50,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
169,169,B,5,0.048450899997988,,1600,50,marginal,shapley-20260606T021158Z-cfd9af2c,shapley,marginal
49,49,B,0,0.1482555999973556,,1024,32,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
69,69,B,1,0.0892056999982742,,1600,50,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
89,89,B,2,0.0852121999996597,,1600,50,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
109,109,B,3,0.0791267999993579,,1600,50,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
129,129,B,4,0.0741765000020677,,1600,50,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
169,169,B,5,0.072880100000475,,1600,50,conditional,shapley-20260606T021222Z-ff3a2d3c,shapley,conditional
