epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1332744999999704,,1024,32,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
69,69,B,1,0.0536343999992823,,1600,50,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
89,89,B,2,0.0471180999993521,,1600,50,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
109,109,B,3,0.049241400000028,,1600,50,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
129,129,B,4,0.0428419000018038,,1600,50,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
169,169,B,5,0.0417267000011634,,1600,50,baseline,shapley-20260606T022508Z-85e2d10c,shapley,baseline
49,49,B,0,0.133564200001274,,1024,32,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
69,69,B,1,0.0544196000009833,,1600,50,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
89,89,B,2,0.0497990000003483,,1600,50,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
109,109,B,3,0.0483444999990752,,1600,50,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
129,129,B,4,0.0484468999966338,,1600,50,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
169,169,B,5,0.0479704000026686,,1600,50,marginal,shapley-20260606T022533Z-b20db92a,shapley,marginal
49,49,B,0,0.1499136999991606,,1024,32,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
69,69,B,1,0.0838592000000062,,1600,50,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
89,89,B,2,0.0827064000004611,,1600,50,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
109,109,B,3,0.077354799999739,,1600,50,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
129,129,B,4,0.0788099999990663,,1600,50,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
169,169,B,5,0.0795015000003331,,1600,50,conditional,shapley-20260606T022557Z-3b642cf0,shapley,conditional
