"run_id","training_type","shapley_tactic","latent_dim","started_at","ended_at","duration_sec","epochs","final_loss","final_recon","final_recon_base","final_pix_recon","final_aux_recon_base","final_kl","final_val_loss","final_val_recon","final_val_recon_base","final_val_pix_recon","final_val_aux_recon_base","final_val_kl","iteration"
"baseline-20260606T014339Z-b13abd42","baseline","none","8","2026-06-06T01:43:25.563853+00:00","2026-06-06T01:43:39.371201+00:00","13.807616900001449","200","1.2323532785688127","0.7447642769132342","0.7447642769132342","0.40529868432453703","0.4243319843496595","5.309904370989118","1.06271493434906","0.6005333960056305","0.6005333960056305","0.3179391473531723","0.35324282944202423","5.033214569091797","iter_01"
"pix_only-20260606T014403Z-e2f8e1a1","pix_only","none","8","2026-06-06T01:43:49.979187+00:00","2026-06-06T01:44:03.092169+00:00","13.112495000001218","200","0.6760452219418117","0.3931208976677486","0.3931208976677486","0.3931208976677486","1.0716478994914465","5.243423053196499","0.5708830654621124","0.3041459918022156","0.3041459918022156","0.3041459918022156","1.0610657930374146","4.943425416946411","iter_01"
"shapley-20260606T014428Z-e57b3cbe","shapley","baseline","8","2026-06-06T01:44:14.134049+00:00","2026-06-06T01:44:28.014021+00:00","13.880192499998884","200","1.1964557341166906","0.7074048348835537","0.7692830732890538","0.41054082342556547","0.44842781339372906","5.264268262045724","1.0703964829444885","0.604174941778183","0.604174941778183","0.3176465779542923","0.35816042125225067","5.018527030944824","iter_01"
"shapley-20260606T014452Z-b71a562f","shapley","marginal","8","2026-06-06T01:44:38.562001+00:00","2026-06-06T01:44:52.386087+00:00","13.824328700000478","200","1.191138505935669","0.6972978370530265","0.7606782742909023","0.40532393966402325","0.44419292892728535","5.2837227412632535","1.0716366171836853","0.6026164889335632","0.6026165187358856","0.31663110852241516","0.3574817478656769","5.0181615352630615","iter_01"
"shapley-20260606T014517Z-3f52215d","shapley","conditional","8","2026-06-06T01:45:03.061723+00:00","2026-06-06T01:45:17.065419+00:00","14.003863100000672","200","1.2293619087764196","0.7171018379075187","0.774765636239733","0.4131060540676117","0.45207446813583374","5.2805319513593405","1.0890456438064575","0.6024050712585449","0.6024051010608673","0.3162553459405899","0.35768719017505646","5.016437768936157","iter_01"
"baseline-20260606T014555Z-9aad662c","baseline","none","8","2026-06-06T01:45:42.677032+00:00","2026-06-06T01:45:55.634536+00:00","12.958307499999137","200","1.240580950464521","0.750120324747903","0.7501203332628522","0.40749931761196684","0.42827625785555157","5.258175713675363","1.0646480321884155","0.5972448289394379","0.5972447991371155","0.3161288648843765","0.3513949364423752","5.010979413986206","iter_02"
"pix_only-20260606T014619Z-201b932a","pix_only","none","8","2026-06-06T01:46:06.369304+00:00","2026-06-06T01:46:19.299003+00:00","12.932354599999599","200","0.6665500402450562","0.3845850740160261","0.3845850740160261","0.3845850740160261","1.0803958177566528","5.359157630375454","0.5708542466163635","0.3044862747192383","0.3044862747192383","0.3044862747192383","1.0774933099746704","5.062713861465454","iter_02"
"shapley-20260606T014643Z-fcc395e5","shapley","baseline","8","2026-06-06T01:46:30.118334+00:00","2026-06-06T01:46:43.879245+00:00","13.762299199999688","200","1.20618770803724","0.7033442003386361","0.7630187443324498","0.4084651597908565","0.4431919625827244","5.217173508235386","1.081109344959259","0.602258950471878","0.6022589802742004","0.3166612386703491","0.35699716210365295","4.968236446380615","iter_02"
"shapley-20260606T014708Z-200e1006","shapley","marginal","8","2026-06-06T01:46:54.481889+00:00","2026-06-06T01:47:08.208780+00:00","13.726527099999657","200","1.2058956452778407","0.7042961716651917","0.7659422925540379","0.40971071805272785","0.44528947131974356","5.241686820983887","1.07664155960083","0.5992454290390015","0.5992454290390015","0.31580033898353577","0.3543063849210739","4.988763332366943","iter_02"
"shapley-20260606T014732Z-994ebdac","shapley","conditional","8","2026-06-06T01:47:18.853330+00:00","2026-06-06T01:47:32.800567+00:00","13.947211799999423","200","1.2005621705736433","0.7074991294315883","0.7736568025180272","0.40877644079072134","0.4561004340648651","5.23917852129255","1.0766839981079102","0.6060946583747864","0.6060946583747864","0.3136536180973053","0.36555126309394836","5.000377655029297","iter_02"
