predictor,feature,feature_group,feature_mse
global_mean,fac_026,fac,0.8566316366195679
global_mean,fac_027,fac,1.0946894884109497
global_mean,fac_028,fac,1.0765807628631592
global_mean,fac_029,fac,0.962009608745575
global_mean,fac_030,fac,0.9263145327568054
global_mean,fac_031,fac,0.9486575126647949
global_mean,fac_032,fac,0.9317213296890259
global_mean,fac_033,fac,1.0513944625854492
global_mean,fac_034,fac,0.9303439855575562
global_mean,fac_035,fac,1.0988092422485352
global_mean,fac_036,fac,1.0289297103881836
global_mean,fac_037,fac,0.9865447878837585
global_mean,fac_038,fac,0.8970437049865723
global_mean,fac_039,fac,1.108655333518982
global_mean,fac_040,fac,0.9744230508804321
global_mean,fac_041,fac,0.995589017868042
global_mean,fac_042,fac,1.1622275114059448
global_mean,fac_043,fac,0.8827083110809326
global_mean,fac_044,fac,0.9752721190452576
global_mean,fac_045,fac,1.0179352760314941
global_mean,fac_046,fac,0.9613654613494873
global_mean,fac_047,fac,1.0264570713043213
global_mean,fac_048,fac,1.019757866859436
global_mean,fac_049,fac,0.970212459564209
global_mean,fac_050,fac,0.9046503305435181
global_mean,fac_051,fac,1.1216286420822144
global_mean,fac_052,fac,1.026586651802063
global_mean,fac_053,fac,0.9490904808044434
global_mean,fac_054,fac,0.9432121515274048
global_mean,fac_055,fac,0.8684826493263245
global_mean,fac_056,fac,0.9317213296890259
global_mean,fac_057,fac,1.001081109046936
global_mean,fac_058,fac,0.9697346687316895
global_mean,fac_059,fac,1.0737085342407227
global_mean,fac_060,fac,1.0846889019012451
global_mean,fac_061,fac,0.9777655601501465
global_mean,fac_062,fac,0.8773664832115173
global_mean,fac_063,fac,1.0906087160110474
global_mean,fac_064,fac,1.062403917312622
global_mean,fac_065,fac,1.023118257522583
global_mean,fac_066,fac,0.9156486392021179
global_mean,fac_067,fac,0.9473516345024109
global_mean,fac_068,fac,0.9394033551216125
global_mean,fac_069,fac,0.9600789546966553
global_mean,fac_070,fac,0.9038451313972473
global_mean,fac_071,fac,1.0786769390106201
global_mean,fac_072,fac,0.971330463886261
global_mean,fac_073,fac,1.0182205438613892
global_mean,fac_074,fac,1.055728793144226
global_mean,fac_075,fac,1.115296721458435
global_mean,fac_076,fac,1.0299429893493652
global_mean,fac_077,fac,0.9023956060409546
global_mean,fac_078,fac,1.1350899934768677
global_mean,fac_079,fac,0.9635566473007202
global_mean,fac_080,fac,0.9875657558441162
global_mean,fac_081,fac,1.0608303546905518
global_mean,fac_082,fac,0.9413173198699951
global_mean,fac_083,fac,1.0209087133407593
global_mean,fac_084,fac,1.0401394367218018
global_mean,fac_085,fac,0.9680405259132385
global_mean,fac_086,fac,1.0278706550598145
global_mean,fac_087,fac,1.030282974243164
global_mean,fac_088,fac,1.0126316547393799
global_mean,fac_089,fac,0.9263054728507996
global_mean,fac_090,fac,1.0975741147994995
global_mean,fac_091,fac,1.145837664604187
global_mean,fac_092,fac,0.9523438215255737
global_mean,fac_093,fac,1.0636976957321167
global_mean,fac_094,fac,1.0846495628356934
global_mean,fac_095,fac,0.9632020592689514
global_mean,fac_096,fac,0.9511375427246094
global_mean,fac_097,fac,0.9558272361755371
global_mean,fac_098,fac,1.109753131866455
