hook,seconds,calls
KLBetaSchedulerCallback.on_train_begin,1.4299999747890979e-05,1
KLBetaSchedulerCallback.on_epoch_begin,0.0003184999877703376,200
KLBetaSchedulerCallback.on_batch_begin,0.0023474000136047835,1400
KLBetaSchedulerCallback.on_batch_end,0.0034609999711392447,1400
KLBetaSchedulerCallback.on_epoch_end,0.002833599992300151,200
KLBetaSchedulerCallback.on_train_end,1.6000012692529708e-06,1
