epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1203255000000353,,1024,32,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
69,69,B,1,0.0495831000007456,,1600,50,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
89,89,B,2,0.0594338000009884,,1600,50,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
109,109,B,3,0.0404821000010997,,1600,50,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
129,129,B,4,0.0487842999991698,,1600,50,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
169,169,B,5,0.0376447999988158,,1600,50,baseline,shapley-20260606T020030Z-ea4c59b9,shapley,baseline
49,49,B,0,0.1242946999991545,,1024,32,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
69,69,B,1,0.0524113999999826,,1600,50,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
89,89,B,2,0.0440159999998286,,1600,50,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
109,109,B,3,0.0444643000009818,,1600,50,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
129,129,B,4,0.0470215999994252,,1600,50,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
169,169,B,5,0.040902200000346,,1600,50,marginal,shapley-20260606T020053Z-de196f36,shapley,marginal
49,49,B,0,0.141210100000535,,1024,32,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
69,69,B,1,0.0797595000003639,,1600,50,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
89,89,B,2,0.0762254999990545,,1600,50,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
109,109,B,3,0.0714869999992515,,1600,50,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
129,129,B,4,0.0722710999998526,,1600,50,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
169,169,B,5,0.0738185000009252,,1600,50,conditional,shapley-20260606T020116Z-db49fad8,shapley,conditional
