epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1288511999991897,,1024,32,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
69,69,B,1,0.0541974999978265,,1600,50,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
89,89,B,2,0.0545567000008304,,1600,50,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
109,109,B,3,0.0444760999998834,,1600,50,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
129,129,B,4,0.0492701000002853,,1600,50,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
169,169,B,5,0.0431330999999772,,1600,50,baseline,shapley-20260606T022726Z-9cad32bb,shapley,baseline
49,49,B,0,0.1339183000018238,,1024,32,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
69,69,B,1,0.0491726000000198,,1600,50,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
89,89,B,2,0.0512459000019589,,1600,50,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
109,109,B,3,0.0517077000004064,,1600,50,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
129,129,B,4,0.0556614999986777,,1600,50,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
169,169,B,5,0.0461916999993263,,1600,50,marginal,shapley-20260606T022750Z-c51d920d,shapley,marginal
49,49,B,0,0.1457551999992574,,1024,32,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
69,69,B,1,0.0779958999992231,,1600,50,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
89,89,B,2,0.0727697000002081,,1600,50,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
109,109,B,3,0.0805147999999462,,1600,50,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
129,129,B,4,0.0907154000014998,,1600,50,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
169,169,B,5,0.0762730999995255,,1600,50,conditional,shapley-20260606T022815Z-2b78141d,shapley,conditional
