epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic
49,49,B,0,0.12147860000550281,,1024,32,baseline
69,69,B,1,0.048523300007218495,,1600,50,baseline
89,89,B,2,0.05883259999973234,,1600,50,baseline
109,109,B,3,0.042424899991601706,,1600,50,baseline
129,129,B,4,0.042968599998857826,,1600,50,baseline
169,169,B,5,0.03610830000252463,,1600,50,baseline
