epoch_start,epoch_end,phase,cycle,duration_sec,num_batches,num_samples,num_node_groups,tactic,run_id,training_type,shapley_tactic
49,49,B,0,0.1588746999987051,,1024,32,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
69,69,B,1,0.0683872999979939,,1600,50,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
89,89,B,2,0.0564314999974158,,1600,50,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
109,109,B,3,0.06181309999738,,1600,50,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
129,129,B,4,0.0477731000028143,,1600,50,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
169,169,B,5,0.048881300001085,,1600,50,baseline,shapley-20260606T030531Z-d8b90fc2,shapley,baseline
49,49,B,0,0.1270036999994772,,1024,32,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
69,69,B,1,0.0613503999993554,,1600,50,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
89,89,B,2,0.0513806000017211,,1600,50,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
109,109,B,3,0.0459326999989571,,1600,50,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
129,129,B,4,0.0483664000021235,,1600,50,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
169,169,B,5,0.0460786000003281,,1600,50,marginal,shapley-20260606T030556Z-a354347d,shapley,marginal
49,49,B,0,0.1520438999978068,,1024,32,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
69,69,B,1,0.0865673000007518,,1600,50,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
89,89,B,2,0.0783207999993464,,1600,50,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
109,109,B,3,0.0788775000000896,,1600,50,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
129,129,B,4,0.0935236000004806,,1600,50,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
169,169,B,5,0.079475900001853,,1600,50,conditional,shapley-20260606T030620Z-79544c07,shapley,conditional
