run_id,shapley_tactic,phase,epoch,logical_epoch,elapsed_train_sec,shapley_value,baseline_value,metric,delta
shapley-20260606T023844Z-ebfd80f0,baseline,A,0,0,0.265555800000584,0.9875033412660872,0.9737246888024468,train_pix_recon,0.013778652463640406
shapley-20260606T023844Z-ebfd80f0,baseline,A,1,1,0.333639000000403,0.7965015939303807,0.7632022755486625,train_pix_recon,0.03329931838171818
shapley-20260606T023844Z-ebfd80f0,baseline,A,2,2,0.3987988000008045,0.6486108643668038,0.6298055308205741,train_pix_recon,0.018805333546229708
shapley-20260606T023844Z-ebfd80f0,baseline,A,3,3,0.4716651000017009,0.5565769587244306,0.5414034639086042,train_pix_recon,0.015173494815826416
shapley-20260606T023844Z-ebfd80f0,baseline,A,4,4,0.5391971999997622,0.4986852450030191,0.4957493969372341,train_pix_recon,0.0029358480657850072
shapley-20260606T023844Z-ebfd80f0,baseline,A,5,5,0.603879300000699,0.4522327610424587,0.4505591818264552,train_pix_recon,0.0016735792160034735
shapley-20260606T023844Z-ebfd80f0,baseline,A,6,6,0.6799055000010412,0.411870892558779,0.4180497527122497,train_pix_recon,-0.006178860153470689
shapley-20260606T023844Z-ebfd80f0,baseline,A,7,7,0.745585900000151,0.3861475629465921,0.388364315032959,train_pix_recon,-0.002216752086366902
shapley-20260606T023844Z-ebfd80f0,baseline,A,8,8,0.807635000001028,0.3631164133548736,0.3672612564904349,train_pix_recon,-0.004144843135561294
shapley-20260606T023844Z-ebfd80f0,baseline,A,9,9,0.8748310000009951,0.3465760605675833,0.3515972239630563,train_pix_recon,-0.005021163395473038
shapley-20260606T023844Z-ebfd80f0,baseline,A,10,10,0.9381996000010986,0.3303409303937639,0.3324921940054212,train_pix_recon,-0.0021512636116572947
shapley-20260606T023844Z-ebfd80f0,baseline,A,11,11,1.0036563000030585,0.3193138454641614,0.3224985940115792,train_pix_recon,-0.003184748547417793
shapley-20260606T023844Z-ebfd80f0,baseline,A,12,12,1.0633047000010265,0.3197215752942221,0.3191618408475603,train_pix_recon,0.0005597344466618526
shapley-20260606T023844Z-ebfd80f0,baseline,A,13,13,1.1289975000036063,0.3176031879016331,0.3177540515150343,train_pix_recon,-0.00015086361340116428
shapley-20260606T023844Z-ebfd80f0,baseline,A,14,14,1.1941750000041793,0.2995407240731375,0.3010101233209882,train_pix_recon,-0.0014693992478507223
shapley-20260606T023844Z-ebfd80f0,baseline,A,15,15,1.256885800001328,0.2927520445414951,0.2926051233495985,train_pix_recon,0.00014692119189663178
shapley-20260606T023844Z-ebfd80f0,baseline,A,16,16,1.3176234000020486,0.2901471555233001,0.290007723229272,train_pix_recon,0.00013943229402813007
shapley-20260606T023844Z-ebfd80f0,baseline,A,17,17,1.3785783000021183,0.2898400255611965,0.2942944339343479,train_pix_recon,-0.0044544083731514195
shapley-20260606T023844Z-ebfd80f0,baseline,A,18,18,1.4410576000009314,0.2814159563609532,0.2802344560623169,train_pix_recon,0.0011815002986362844
shapley-20260606T023844Z-ebfd80f0,baseline,A,19,19,1.5001255000024685,0.2738728949001857,0.2742707814489092,train_pix_recon,-0.000397886548723525
shapley-20260606T023844Z-ebfd80f0,baseline,A,20,20,1.5630249000023468,0.2683718140636171,0.270736392055239,train_pix_recon,-0.0023645779916218745
shapley-20260606T023844Z-ebfd80f0,baseline,A,21,21,1.6270210000002407,0.2755520726953234,0.2772797048091888,train_pix_recon,-0.001727632113865396
shapley-20260606T023844Z-ebfd80f0,baseline,A,22,22,1.6864444999991974,0.2761073197637285,0.2740520324025835,train_pix_recon,0.002055287361144964
shapley-20260606T023844Z-ebfd80f0,baseline,A,23,23,1.7486644000018714,0.2677356430462428,0.2697639422757285,train_pix_recon,-0.002028299229485664
