node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
0,0,0,1.0,-1.30536687374115,2.0150609016418457,0.3110781908035278,32.0,0.0,1.0,0.2071070373058319,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
1,10000,1,0.4000000059604645,-1.3103927373886108,1.9598863124847408,0.2427572011947631,32.0,0.0,1.0,0.0738289654254913,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
2,1000,1,0.4000000059604645,-0.468277633190155,0.2634420990943908,0.0441581606864929,32.0,0.0,1.0,0.0320615768432617,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
3,11000,2,0.2000000029802322,-0.360706478357315,0.1566036492586136,0.026494488120079,32.0,0.0,1.0,0.0130300046876072,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
4,100,1,0.4000000059604645,-1.0678443908691406,1.2642734050750732,0.1239817142486572,32.0,0.0,1.0,0.0530471354722976,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
5,10100,2,0.2000000029802322,-1.0274882316589355,1.1739243268966677,0.1181923151016235,32.0,0.0,1.0,0.0264087114483118,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
6,1100,2,0.2000000029802322,-0.2129515409469604,0.0663911551237106,0.0210427977144718,32.0,0.0,1.0,0.0117211109027266,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
7,11100,3,0.2000000029802322,-0.1538037657737732,0.0400306917726993,0.0163750927895307,32.0,0.0,1.0,0.0104575781151652,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
8,10,1,0.4000000059604645,-1.190956950187683,1.681353211402893,0.262974739074707,32.0,0.0,1.0,0.076801024377346,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
9,10010,2,0.2000000029802322,-1.1634368896484375,1.4803581237792969,0.1267727613449096,32.0,0.0,1.0,0.0273148566484451,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
10,1010,2,0.2000000029802322,-0.3644556403160095,0.1553376317024231,0.0225097239017486,32.0,0.0,1.0,0.0120885092765092,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
11,11010,3,0.2000000029802322,-0.2581306397914886,0.0770209282636642,0.0103894993662834,32.0,0.0,1.0,0.0085333017632365,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
12,110,2,0.2000000029802322,-0.9674052000045776,1.0103380680084229,0.074465274810791,32.0,0.0,1.0,0.0211680978536605,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
13,10110,3,0.2000000029802322,-0.8592065572738647,0.833703339099884,0.0954674482345581,32.0,0.0,1.0,0.0238357726484537,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
14,1110,3,0.2000000029802322,-0.106766827404499,0.021587586030364,0.0101884305477142,32.0,0.0,1.0,0.0084600485861301,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
15,11110,4,0.4000000059604645,-0.0365525856614112,0.0058733327314257,0.0045372410677373,32.0,0.0,1.0,0.010956666432321,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
16,1,1,0.4000000059604645,-1.2706165313720703,1.8122590780258176,0.197792649269104,32.0,0.0,1.0,0.0667390003800392,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
17,10001,2,0.2000000029802322,-1.2069754600524902,1.6526551246643066,0.1958653926849365,32.0,0.0,1.0,0.0337089709937572,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
18,1001,2,0.2000000029802322,-0.3909445703029632,0.1807082295417785,0.0278705656528472,32.0,0.0,1.0,0.0133384596556425,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
19,11001,3,0.2000000029802322,-0.2578012347221374,0.0757799372076988,0.0093184635043144,32.0,0.0,1.0,0.0081344451755285,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
20,101,2,0.2000000029802322,-1.0736889839172363,1.3707711696624756,0.2179630994796753,32.0,0.0,1.0,0.0355047993361949,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
21,10101,3,0.2000000029802322,-0.9202309846878052,1.0106863975524902,0.163861334323883,32.0,0.0,1.0,0.0309175681322813,32,0.0,49,0,1,shapley-20260606T022253Z-96f1abeb,shapley,baseline
