run_id,shapley_tactic,sampling_phase,mean_variance,max_variance,mean_effective_count
shapley-20260606T022253Z-96f1abeb,baseline,1,0.09330937976483251,0.3110781908035278,32.0
shapley-20260606T022253Z-96f1abeb,baseline,2,0.10621604749758258,0.290952205657959,79.0
shapley-20260606T022253Z-96f1abeb,baseline,3,0.1351823933946434,0.4222218990325928,109.0
shapley-20260606T022253Z-96f1abeb,baseline,4,0.21159946967964058,0.6580379009246826,134.0
shapley-20260606T022253Z-96f1abeb,baseline,5,0.23810181835142427,0.7481253147125244,156.0
shapley-20260606T022253Z-96f1abeb,baseline,6,0.3042167555977357,1.0579957962036133,166.71660661697388
shapley-20260606T022318Z-96361266,marginal,1,0.12095188841340127,0.3488829135894775,32.0
shapley-20260606T022318Z-96361266,marginal,2,0.17931883176788685,0.4935731887817383,80.84625947475433
shapley-20260606T022318Z-96361266,marginal,3,0.21015770517988128,0.5248520374298096,123.85294485092163
shapley-20260606T022318Z-96361266,marginal,4,0.25333780120126903,0.7619509696960449,156.87299811840057
shapley-20260606T022318Z-96361266,marginal,5,0.31187366676749656,0.8240830898284912,178.88636684417725
shapley-20260606T022318Z-96361266,marginal,6,0.4109735852689482,1.3129000663757324,201.73994398117065
shapley-20260606T022342Z-cf9f7402,conditional,1,0.0927001998061314,0.2589333653450012,32.0
shapley-20260606T022342Z-cf9f7402,conditional,2,0.0952461386841605,0.2648185491561889,82.0
shapley-20260606T022342Z-cf9f7402,conditional,3,0.0969035819507553,0.2474465370178222,121.0
shapley-20260606T022342Z-cf9f7402,conditional,4,0.10556028244172919,0.3080551624298095,151.0
shapley-20260606T022342Z-cf9f7402,conditional,5,0.11261909687164003,0.3191073536872864,171.0
shapley-20260606T022342Z-cf9f7402,conditional,6,0.12336772921116787,0.36185222864151,186.972017288208
